stats_name,Norway,England
Ball possession,48,52
Expected goals (xG),0.68,1.04
Total shots,13,14
Shots on target,4,8
Touches in opposition box,28,31
Big chances,1,2
Big chances missed,1,0
Accurate passes,494 (86%),567 (90%)
Yellow cards,1,0
Corners,7,4
Shots,0,0
Total shots,13,14
Shots off target,6,3
Shots on target,4,8
Blocked shots,3,3
Hit woodwork,1,0
Shots inside box,10,8
Shots outside box,3,6
Expected goals (xG),0,0
Expected goals (xG),0.68,1.04
xG open play,0.48,0.45
xG set play,0.20,0.59
xG non-penalty,0.68,1.04
xG on target (xGOT),0.42,2.64
Passes,0,0
Passes,577,628
Accurate passes,494 (86%),567 (90%)
Own half,273,220
Opposition half,221,347
Accurate long balls,18 (39%),25 (50%)
Accurate crosses,3 (16%),9 (43%)
Throws,16,27
Touches in opposition box,28,31
Offsides,1,5
Defence,0,0
Tackles,24,15
Interceptions,9,6
Blocks,2,3
Clearances,21,35
Keeper saves,6,3
Duels,0,0
Duels won,49,53
Ground duels won,36 (47%),41 (53%)
Aerial duels won,13 (52%),12 (48%)
Successful dribbles,6 (40%),16 (59%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,10,8
