stats_name,Norway,France
Ball possession,43,57
Expected goals (xG),1.70,1.50
Total shots,10,18
Shots on target,4,9
Touches in opposition box,26,31
Big chances,4,3
Big chances missed,3,2
Accurate passes,343 (81%),480 (86%)
Yellow cards,1,1
Corners,4,5
Shots,0,0
Total shots,10,18
Shots off target,3,6
Shots on target,4,9
Blocked shots,3,3
Hit woodwork,0,1
Shots inside box,6,10
Shots outside box,4,8
Expected goals (xG),0,0
Expected goals (xG),1.70,1.50
xG open play,0.59,1.33
xG set play,0.33,0.18
xG non-penalty,0.91,1.50
xG on target (xGOT),1.41,3.00
Passes,0,0
Passes,421,555
Accurate passes,343 (81%),480 (86%)
Own half,199,196
Opposition half,144,284
Accurate long balls,18 (45%),28 (53%)
Accurate crosses,3 (33%),3 (30%)
Throws,23,12
Touches in opposition box,26,31
Offsides,1,2
Defence,0,0
Tackles,17,17
Interceptions,13,11
Blocks,3,3
Clearances,16,19
Keeper saves,5,3
Duels,0,0
Duels won,42,45
Ground duels won,35 (53%),31 (47%)
Aerial duels won,7 (33%),14 (67%)
Successful dribbles,7 (54%),7 (41%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,9,11
