stats_name,Norway,Senegal
Ball possession,42,58
Expected goals (xG),2.20,1.72
Total shots,13,16
Shots on target,7,4
Touches in opposition box,24,26
Big chances,5,3
Big chances missed,3,1
Accurate passes,282 (80%),430 (88%)
Yellow cards,0,0
Corners,5,4
Shots,0,0
Total shots,13,16
Shots off target,3,7
Shots on target,7,4
Blocked shots,3,5
Hit woodwork,1,0
Shots inside box,11,10
Shots outside box,2,6
Expected goals (xG),0,0
Expected goals (xG),2.20,1.72
xG open play,1.98,1.24
xG set play,0.22,0.47
xG non-penalty,2.20,1.72
xG on target (xGOT),1.95,1.35
Passes,0,0
Passes,353,489
Accurate passes,282 (80%),430 (88%)
Own half,151,181
Opposition half,131,249
Accurate long balls,25 (49%),37 (64%)
Accurate crosses,3 (30%),8 (35%)
Throws,16,20
Touches in opposition box,24,26
Offsides,0,4
Defence,0,0
Tackles,10,16
Interceptions,8,10
Blocks,5,3
Clearances,26,18
Keeper saves,2,3
Duels,0,0
Duels won,38,57
Ground duels won,18 (31%),40 (69%)
Aerial duels won,20 (54%),17 (46%)
Successful dribbles,5 (56%),11 (65%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,13,5
