stats_name,Panama,Croatia
Ball possession,42,58
Expected goals (xG),0.55,1.65
Total shots,8,6
Shots on target,1,2
Touches in opposition box,19,15
Big chances,1,3
Big chances missed,1,2
Accurate passes,277 (79%),432 (84%)
Yellow cards,1,1
Corners,7,2
Shots,0,0
Total shots,8,6
Shots off target,5,3
Shots on target,1,2
Blocked shots,2,1
Hit woodwork,0,0
Shots inside box,6,4
Shots outside box,2,2
Expected goals (xG),0,0
Expected goals (xG),0.55,1.65
xG open play,0.29,1.59
xG set play,0.26,0.05
xG non-penalty,0.55,1.65
xG on target (xGOT),0.04,1.21
Passes,0,0
Passes,352,512
Accurate passes,277 (79%),432 (84%)
Own half,136,222
Opposition half,141,210
Accurate long balls,25 (46%),19 (37%)
Accurate crosses,6 (19%),5 (28%)
Throws,14,14
Touches in opposition box,19,15
Offsides,1,2
Defence,0,0
Tackles,10,19
Interceptions,5,5
Blocks,1,2
Clearances,29,38
Keeper saves,1,1
Duels,0,0
Duels won,58,63
Ground duels won,32 (40%),48 (60%)
Aerial duels won,26 (63%),15 (37%)
Successful dribbles,11 (58%),11 (100%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,19,12
