stats_name,Panama,England
Ball possession,33,67
Expected goals (xG),0.66,1.56
Total shots,13,17
Shots on target,2,6
Touches in opposition box,14,39
Big chances,0,4
Big chances missed,0,2
Accurate passes,202 (75%),490 (88%)
Yellow cards,2,1
Corners,3,7
Shots,0,0
Total shots,13,17
Shots off target,8,8
Shots on target,2,6
Blocked shots,3,3
Hit woodwork,0,0
Shots inside box,8,12
Shots outside box,5,5
Expected goals (xG),0,0
Expected goals (xG),0.66,1.56
xG open play,0.42,1.39
xG set play,0.24,0.18
xG non-penalty,0.66,1.56
xG on target (xGOT),0.21,2.01
Passes,0,0
Passes,268,558
Accurate passes,202 (75%),490 (88%)
Own half,140,199
Opposition half,62,291
Accurate long balls,25 (46%),20 (56%)
Accurate crosses,3 (33%),4 (16%)
Throws,24,14
Touches in opposition box,14,39
Offsides,4,4
Defence,0,0
Tackles,16,18
Interceptions,6,5
Blocks,3,3
Clearances,34,20
Keeper saves,4,2
Duels,0,0
Duels won,43,61
Ground duels won,32 (42%),44 (58%)
Aerial duels won,11 (39%),17 (61%)
Successful dribbles,6 (40%),10 (56%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,16,13
