stats_name,Paraguay,Australia
Ball possession,44,56
Expected goals (xG),0.24,0.55
Total shots,7,12
Shots on target,2,5
Touches in opposition box,7,14
Big chances,0,0
Big chances missed,0,0
Accurate passes,330 (77%),438 (82%)
Yellow cards,1,1
Corners,1,3
Shots,0,0
Total shots,7,12
Shots off target,4,4
Shots on target,2,5
Blocked shots,1,3
Hit woodwork,0,0
Shots inside box,3,7
Shots outside box,4,5
Expected goals (xG),0,0
Expected goals (xG),0.24,0.55
xG open play,0.18,0.53
xG set play,0.07,0.02
xG non-penalty,0.24,0.55
xG on target (xGOT),0.30,0.60
Passes,0,0
Passes,426,537
Accurate passes,330 (77%),438 (82%)
Own half,172,279
Opposition half,158,159
Accurate long balls,14 (24%),17 (29%)
Accurate crosses,0 (0%),4 (31%)
Throws,26,28
Touches in opposition box,7,14
Offsides,0,0
Defence,0,0
Tackles,24,20
Interceptions,8,7
Blocks,3,1
Clearances,24,10
Keeper saves,5,2
Duels,0,0
Duels won,55,64
Ground duels won,35 (47%),39 (53%)
Aerial duels won,20 (44%),25 (56%)
Successful dribbles,5 (31%),11 (46%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,9,6
