stats_name,Paraguay,France
Ball possession,24,76
Expected goals (xG),0.13,1.45
Total shots,5,15
Shots on target,0,5
Touches in opposition box,4,25
Big chances,0,2
Big chances missed,0,1
Accurate passes,98 (54%),510 (90%)
Yellow cards,0,3
Corners,2,12
Shots,0,0
Total shots,5,15
Shots off target,4,6
Shots on target,0,5
Blocked shots,1,4
Hit woodwork,0,0
Shots inside box,1,5
Shots outside box,4,10
Expected goals (xG),0,0
Expected goals (xG),0.13,1.45
xG open play,0.11,0.63
xG set play,0.02,0.04
xG non-penalty,0.13,0.66
xG on target (xGOT),0.00,1.88
Passes,0,0
Passes,183,569
Accurate passes,98 (54%),510 (90%)
Own half,54,143
Opposition half,44,367
Accurate long balls,12 (22%),23 (59%)
Accurate crosses,0 (0%),1 (5%)
Throws,19,17
Touches in opposition box,4,25
Offsides,0,0
Defence,0,0
Tackles,29,13
Interceptions,14,10
Blocks,4,1
Clearances,21,27
Keeper saves,4,0
Duels,0,0
Duels won,50,56
Ground duels won,44 (53%),39 (47%)
Aerial duels won,6 (26%),17 (74%)
Successful dribbles,4 (29%),15 (50%)
Discipline,0,0
Yellow cards,0,3
Red cards,0,0
Fouls committed,13,11
