stats_name,Portugal,Croatia
Ball possession,60,40
Expected goals (xG),2.20,1.34
Total shots,15,13
Shots on target,3,6
Touches in opposition box,19,22
Big chances,3,4
Big chances missed,2,3
Accurate passes,533 (91%),312 (84%)
Yellow cards,1,2
Corners,9,5
Shots,0,0
Total shots,15,13
Shots off target,8,5
Shots on target,3,6
Blocked shots,4,2
Hit woodwork,1,1
Shots inside box,10,10
Shots outside box,5,3
Expected goals (xG),0,0
Expected goals (xG),2.20,1.34
xG open play,0.76,1.15
xG set play,0.66,0.19
xG non-penalty,1.42,1.34
xG on target (xGOT),1.85,1.51
Passes,0,0
Passes,585,370
Accurate passes,533 (91%),312 (84%)
Own half,216,188
Opposition half,317,124
Accurate long balls,19 (49%),18 (43%)
Accurate crosses,6 (30%),7 (32%)
Throws,9,14
Touches in opposition box,19,22
Offsides,1,4
Defence,0,0
Tackles,19,22
Interceptions,5,10
Blocks,2,4
Clearances,19,19
Keeper saves,5,2
Duels,0,0
Duels won,55,42
Ground duels won,43 (56%),34 (44%)
Aerial duels won,12 (60%),8 (40%)
Successful dribbles,12 (48%),6 (75%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,0
Fouls committed,6,12
