stats_name,Portugal,DR Congo
Ball possession,75,25
Expected goals (xG),0.65,0.87
Total shots,7,8
Shots on target,1,2
Touches in opposition box,29,10
Big chances,0,1
Big chances missed,0,0
Accurate passes,724 (92%),195 (78%)
Yellow cards,3,1
Corners,5,4
Shots,0,0
Total shots,7,8
Shots off target,4,3
Shots on target,1,2
Blocked shots,2,3
Hit woodwork,0,0
Shots inside box,5,2
Shots outside box,2,6
Expected goals (xG),0,0
Expected goals (xG),0.65,0.87
xG open play,0.65,0.29
xG set play,0.00,0.58
xG non-penalty,0.65,0.87
xG on target (xGOT),0.53,0.97
Passes,0,0
Passes,783,249
Accurate passes,724 (92%),195 (78%)
Own half,345,97
Opposition half,379,98
Accurate long balls,41 (64%),11 (28%)
Accurate crosses,6 (26%),1 (10%)
Throws,16,15
Touches in opposition box,29,10
Offsides,3,2
Defence,0,0
Tackles,12,17
Interceptions,3,5
Blocks,2,2
Clearances,10,27
Keeper saves,1,0
Duels,0,0
Duels won,34,42
Ground duels won,25 (42%),34 (58%)
Aerial duels won,9 (53%),8 (47%)
Successful dribbles,5 (42%),8 (53%)
Discipline,0,0
Yellow cards,3,1
Red cards,0,0
Fouls committed,9,10
