stats_name,Portugal,Spain
Ball possession,45,55
Expected goals (xG),0.63,1.69
Total shots,10,15
Shots on target,2,6
Touches in opposition box,11,27
Big chances,1,3
Big chances missed,1,2
Accurate passes,357 (84%),467 (88%)
Yellow cards,2,1
Corners,3,7
Shots,0,0
Total shots,10,15
Shots off target,5,6
Shots on target,2,6
Blocked shots,3,3
Hit woodwork,1,0
Shots inside box,7,8
Shots outside box,3,7
Expected goals (xG),0,0
Expected goals (xG),0.63,1.69
xG open play,0.54,1.56
xG set play,0.09,0.12
xG non-penalty,0.63,1.69
xG on target (xGOT),0.89,1.46
Passes,0,0
Passes,427,530
Accurate passes,357 (84%),467 (88%)
Own half,187,194
Opposition half,170,273
Accurate long balls,23 (44%),16 (48%)
Accurate crosses,4 (31%),1 (6%)
Throws,20,17
Touches in opposition box,11,27
Offsides,2,1
Defence,0,0
Tackles,14,18
Interceptions,7,6
Blocks,3,3
Clearances,23,13
Keeper saves,5,2
Duels,0,0
Duels won,47,35
Ground duels won,36 (54%),31 (46%)
Aerial duels won,11 (73%),4 (27%)
Successful dribbles,10 (43%),5 (50%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,9,13
