stats_name,Portugal,Uzbekistan
Ball possession,66,34
Expected goals (xG),2.61,0.24
Total shots,17,7
Shots on target,9,2
Touches in opposition box,36,6
Big chances,7,0
Big chances missed,5,0
Accurate passes,561 (90%),262 (80%)
Yellow cards,1,1
Corners,3,2
Shots,0,0
Total shots,17,7
Shots off target,5,2
Shots on target,9,2
Blocked shots,3,3
Hit woodwork,0,0
Shots inside box,12,4
Shots outside box,5,3
Expected goals (xG),0,0
Expected goals (xG),2.61,0.24
xG open play,1.69,0.23
xG set play,0.92,0.01
xG non-penalty,2.61,0.24
xG on target (xGOT),3.49,0.09
Passes,0,0
Passes,624,327
Accurate passes,561 (90%),262 (80%)
Own half,250,157
Opposition half,311,105
Accurate long balls,22 (55%),9 (30%)
Accurate crosses,5 (23%),0 (0%)
Throws,20,16
Touches in opposition box,36,6
Offsides,2,2
Defence,0,0
Tackles,14,18
Interceptions,6,14
Blocks,3,3
Clearances,16,30
Keeper saves,2,4
Duels,0,0
Duels won,54,45
Ground duels won,43 (52%),39 (48%)
Aerial duels won,11 (65%),6 (35%)
Successful dribbles,14 (54%),8 (53%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,14,15
