stats_name,Qatar,Switzerland
Ball possession,32,68
Expected goals (xG),0.60,3.20
Total shots,6,26
Shots on target,3,7
Touches in opposition box,8,42
Big chances,1,6
Big chances missed,1,5
Accurate passes,200 (72%),527 (91%)
Yellow cards,2,1
Corners,3,10
Shots,0,0
Total shots,6,26
Shots off target,3,10
Shots on target,3,7
Blocked shots,0,9
Hit woodwork,0,0
Shots inside box,4,18
Shots outside box,2,8
Expected goals (xG),0,0
Expected goals (xG),0.60,3.20
xG open play,0.52,1.72
xG set play,0.08,0.69
xG non-penalty,0.60,2.41
xG on target (xGOT),0.46,1.78
Passes,0,0
Passes,278,576
Accurate passes,200 (72%),527 (91%)
Own half,132,159
Opposition half,68,368
Accurate long balls,19 (30%),27 (77%)
Accurate crosses,1 (11%),6 (17%)
Throws,14,17
Touches in opposition box,8,42
Offsides,0,1
Defence,0,0
Tackles,14,8
Interceptions,11,7
Blocks,9,0
Clearances,31,13
Keeper saves,5,3
Duels,0,0
Duels won,36,37
Ground duels won,26 (49%),27 (51%)
Aerial duels won,10 (50%),10 (50%)
Successful dribbles,2 (50%),7 (54%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,12,11
