stats_name,Saudi Arabia,Uruguay
Ball possession,33,67
Expected goals (xG),0.66,1.72
Total shots,7,27
Shots on target,3,10
Touches in opposition box,10,41
Big chances,1,2
Big chances missed,0,1
Accurate passes,236 (73%),540 (88%)
Yellow cards,1,0
Corners,4,14
Shots,0,0
Total shots,7,27
Shots off target,3,10
Shots on target,3,10
Blocked shots,1,7
Hit woodwork,0,1
Shots inside box,4,16
Shots outside box,3,11
Expected goals (xG),0,0
Expected goals (xG),0.66,1.72
xG open play,0.09,0.85
xG set play,0.57,0.88
xG non-penalty,0.66,1.72
xG on target (xGOT),0.65,1.68
Passes,0,0
Passes,322,612
Accurate passes,236 (73%),540 (88%)
Own half,142,209
Opposition half,94,331
Accurate long balls,10 (24%),24 (59%)
Accurate crosses,3 (50%),16 (34%)
Throws,18,20
Touches in opposition box,10,41
Offsides,0,6
Defence,0,0
Tackles,11,3
Interceptions,9,10
Blocks,6,1
Clearances,43,17
Keeper saves,9,2
Duels,0,0
Duels won,40,42
Ground duels won,18 (45%),22 (55%)
Aerial duels won,22 (52%),20 (48%)
Successful dribbles,3 (60%),8 (67%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,11,6
