stats_name,Scotland,Brazil
Ball possession,46,54
Expected goals (xG),1.04,4.33
Total shots,14,21
Shots on target,5,9
Touches in opposition box,27,35
Big chances,1,6
Big chances missed,1,3
Accurate passes,450 (90%),564 (93%)
Yellow cards,1,2
Corners,7,6
Shots,0,0
Total shots,14,21
Shots off target,6,7
Shots on target,5,9
Blocked shots,3,5
Hit woodwork,0,0
Shots inside box,10,14
Shots outside box,4,7
Expected goals (xG),0,0
Expected goals (xG),1.04,4.33
xG open play,0.46,4.22
xG set play,0.58,0.12
xG non-penalty,1.04,4.33
xG on target (xGOT),1.23,4.80
Passes,0,0
Passes,500,605
Accurate passes,450 (90%),564 (93%)
Own half,248,256
Opposition half,202,308
Accurate long balls,17 (52%),12 (44%)
Accurate crosses,9 (39%),2 (17%)
Throws,16,10
Touches in opposition box,27,35
Offsides,0,1
Defence,0,0
Tackles,12,14
Interceptions,2,13
Blocks,6,3
Clearances,13,24
Keeper saves,5,5
Duels,0,0
Duels won,29,49
Ground duels won,24 (41%),35 (59%)
Aerial duels won,5 (26%),14 (74%)
Successful dribbles,2 (25%),11 (65%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,0
Fouls committed,10,11
