stats_name,Scotland,Morocco
Ball possession,41,59
Expected goals (xG),0.51,0.99
Total shots,6,12
Shots on target,0,2
Touches in opposition box,20,26
Big chances,1,3
Big chances missed,1,2
Accurate passes,388 (85%),600 (90%)
Yellow cards,1,1
Corners,2,5
Shots,0,0
Total shots,6,12
Shots off target,3,6
Shots on target,0,2
Blocked shots,3,4
Hit woodwork,0,1
Shots inside box,5,9
Shots outside box,1,3
Expected goals (xG),0,0
Expected goals (xG),0.51,0.99
xG open play,0.37,0.97
xG set play,0.14,0.02
xG non-penalty,0.51,0.99
xG on target (xGOT),0.00,0.49
Passes,0,0
Passes,456,670
Accurate passes,388 (85%),600 (90%)
Own half,255,356
Opposition half,133,244
Accurate long balls,20 (43%),14 (32%)
Accurate crosses,3 (23%),2 (20%)
Throws,9,19
Touches in opposition box,20,26
Offsides,1,0
Defence,0,0
Tackles,20,10
Interceptions,9,5
Blocks,4,3
Clearances,17,14
Keeper saves,1,0
Duels,0,0
Duels won,38,34
Ground duels won,31 (55%),25 (45%)
Aerial duels won,7 (44%),9 (56%)
Successful dribbles,4 (67%),5 (28%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,11,8
