stats_name,Senegal,Iraq
Ball possession,69,31
Expected goals (xG),3.01,0.14
Total shots,28,6
Shots on target,12,1
Touches in opposition box,51,5
Big chances,5,0
Big chances missed,3,0
Accurate passes,517 (88%),184 (69%)
Yellow cards,2,2
Corners,12,3
Shots,0,0
Total shots,28,6
Shots off target,11,1
Shots on target,12,1
Blocked shots,5,4
Hit woodwork,1,0
Shots inside box,17,1
Shots outside box,11,5
Expected goals (xG),0,0
Expected goals (xG),3.01,0.14
xG open play,1.64,0.04
xG set play,1.37,0.10
xG non-penalty,3.01,0.14
xG on target (xGOT),4.93,0.07
Passes,0,0
Passes,590,266
Accurate passes,517 (88%),184 (69%)
Own half,149,124
Opposition half,368,60
Accurate long balls,23 (53%),13 (19%)
Accurate crosses,7 (28%),0 (0%)
Throws,26,16
Touches in opposition box,51,5
Offsides,1,0
Defence,0,0
Tackles,12,20
Interceptions,2,7
Blocks,4,4
Clearances,10,34
Keeper saves,1,7
Duels,0,0
Duels won,49,49
Ground duels won,30 (45%),37 (55%)
Aerial duels won,19 (61%),12 (39%)
Successful dribbles,8 (33%),8 (62%)
Discipline,0,0
Yellow cards,2,2
Red cards,0,1
Fouls committed,10,11
