stats_name,South Africa,Canada
Ball possession,58,42
Expected goals (xG),0.14,1.38
Total shots,6,12
Shots on target,1,7
Touches in opposition box,8,25
Big chances,0,4
Big chances missed,0,4
Accurate passes,466 (84%),298 (79%)
Yellow cards,0,2
Corners,1,4
Shots,0,0
Total shots,6,12
Shots off target,4,5
Shots on target,1,7
Blocked shots,1,0
Hit woodwork,0,0
Shots inside box,1,9
Shots outside box,5,3
Expected goals (xG),0,0
Expected goals (xG),0.14,1.38
xG open play,0.12,0.40
xG set play,0.01,0.97
xG non-penalty,0.14,1.38
xG on target (xGOT),0.11,1.67
Passes,0,0
Passes,554,379
Accurate passes,466 (84%),298 (79%)
Own half,350,129
Opposition half,116,169
Accurate long balls,31 (43%),15 (48%)
Accurate crosses,2 (29%),5 (38%)
Throws,17,21
Touches in opposition box,8,25
Offsides,1,0
Defence,0,0
Tackles,22,20
Interceptions,15,8
Blocks,1,1
Clearances,33,16
Keeper saves,5,1
Duels,0,0
Duels won,60,57
Ground duels won,50 (59%),35 (41%)
Aerial duels won,10 (31%),22 (69%)
Successful dribbles,12 (67%),7 (33%)
Discipline,0,0
Yellow cards,0,2
Red cards,0,0
Fouls committed,10,16
