stats_name,South Africa,South Korea
Ball possession,32,68
Expected goals (xG),1.16,0.90
Total shots,13,8
Shots on target,4,3
Touches in opposition box,13,18
Big chances,1,1
Big chances missed,1,1
Accurate passes,277 (81%),641 (89%)
Yellow cards,1,1
Corners,4,6
Shots,0,0
Total shots,13,8
Shots off target,5,4
Shots on target,4,3
Blocked shots,4,1
Hit woodwork,0,0
Shots inside box,5,5
Shots outside box,8,3
Expected goals (xG),0,0
Expected goals (xG),1.16,0.90
xG open play,1.04,0.50
xG set play,0.11,0.40
xG non-penalty,1.16,0.90
xG on target (xGOT),0.50,1.42
Passes,0,0
Passes,340,719
Accurate passes,277 (81%),641 (89%)
Own half,174,311
Opposition half,103,330
Accurate long balls,19 (33%),29 (56%)
Accurate crosses,1 (13%),7 (21%)
Throws,8,24
Touches in opposition box,13,18
Offsides,3,0
Defence,0,0
Tackles,11,12
Interceptions,15,4
Blocks,2,4
Clearances,40,16
Keeper saves,2,3
Duels,0,0
Duels won,42,45
Ground duels won,26 (51%),25 (49%)
Aerial duels won,16 (44%),20 (56%)
Successful dribbles,6 (46%),6 (50%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,7,9
