stats_name,South Korea,Czechia
Ball possession,62,38
Expected goals (xG),2.30,0.83
Total shots,15,7
Shots on target,6,4
Touches in opposition box,24,12
Big chances,4,1
Big chances missed,2,0
Accurate passes,469 (87%),230 (70%)
Yellow cards,1,0
Corners,4,5
Shots,0,0
Total shots,15,7
Shots off target,5,3
Shots on target,6,4
Blocked shots,4,0
Hit woodwork,0,0
Shots inside box,10,5
Shots outside box,5,2
Expected goals (xG),0,0
Expected goals (xG),2.30,0.83
xG open play,2.21,0.20
xG set play,0.09,0.63
xG non-penalty,2.30,0.83
xG on target (xGOT),2.06,2.07
Passes,0,0
Passes,541,327
Accurate passes,469 (87%),230 (70%)
Own half,213,99
Opposition half,256,131
Accurate long balls,30 (49%),23 (33%)
Accurate crosses,3 (25%),3 (20%)
Throws,26,16
Touches in opposition box,24,12
Offsides,2,2
Defence,0,0
Tackles,7,9
Interceptions,9,6
Blocks,0,4
Clearances,32,21
Keeper saves,3,4
Duels,0,0
Duels won,56,38
Ground duels won,29 (57%),22 (43%)
Aerial duels won,27 (63%),16 (37%)
Successful dribbles,8 (57%),4 (57%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,9,16
