stats_name,Spain,Argentina
Ball possession,65,35
Expected goals (xG),2.29,0.22
Total shots,20,2
Shots on target,12,0
Touches in opposition box,32,8
Big chances,4,0
Big chances missed,3,0
Accurate passes,763 (89%),357 (77%)
Yellow cards,0,4
Corners,9,4
Shots,0,0
Total shots,20,2
Shots off target,5,1
Shots on target,12,0
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,9,1
Shots outside box,11,1
Expected goals (xG),0,0
Expected goals (xG),2.29,0.22
xG open play,1.68,0.03
xG set play,0.61,0.20
xG non-penalty,2.29,0.22
xG on target (xGOT),3.03,0.00
Passes,0,0
Passes,853,464
Accurate passes,763 (89%),357 (77%)
Own half,344,238
Opposition half,419,119
Accurate long balls,23 (44%),25 (34%)
Accurate crosses,5 (19%),1 (14%)
Throws,19,22
Touches in opposition box,32,8
Offsides,4,1
Defence,0,0
Tackles,17,18
Interceptions,11,15
Blocks,1,3
Clearances,23,24
Keeper saves,0,11
Duels,0,0
Duels won,64,60
Ground duels won,51 (52%),48 (48%)
Aerial duels won,13 (52%),12 (48%)
Successful dribbles,14 (56%),9 (64%)
Discipline,0,0
Yellow cards,0,4
Red cards,0,1
Fouls committed,21,25
