stats_name,Spain,Austria
Ball possession,64,36
Expected goals (xG),2.80,0.32
Total shots,23,5
Shots on target,10,0
Touches in opposition box,51,10
Big chances,4,1
Big chances missed,1,1
Accurate passes,570 (91%),285 (82%)
Yellow cards,0,1
Corners,9,0
Shots,0,0
Total shots,23,5
Shots off target,6,4
Shots on target,10,0
Blocked shots,7,1
Hit woodwork,1,0
Shots inside box,15,4
Shots outside box,8,1
Expected goals (xG),0,0
Expected goals (xG),2.80,0.32
xG open play,2.25,0.32
xG set play,0.55,0.00
xG non-penalty,2.80,0.32
xG on target (xGOT),2.20,0.00
Passes,0,0
Passes,629,347
Accurate passes,570 (91%),285 (82%)
Own half,274,197
Opposition half,296,88
Accurate long balls,23 (66%),14 (38%)
Accurate crosses,7 (33%),3 (23%)
Throws,15,7
Touches in opposition box,51,10
Offsides,2,5
Defence,0,0
Tackles,19,16
Interceptions,6,6
Blocks,1,7
Clearances,15,21
Keeper saves,0,6
Duels,0,0
Duels won,53,30
Ground duels won,41 (60%),27 (40%)
Aerial duels won,12 (80%),3 (20%)
Successful dribbles,7 (47%),5 (31%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,8,15
