stats_name,Spain,Belgium
Ball possession,68,32
Expected goals (xG),1.96,0.34
Total shots,17,5
Shots on target,8,2
Touches in opposition box,41,11
Big chances,2,1
Big chances missed,0,0
Accurate passes,598 (90%),243 (78%)
Yellow cards,2,2
Corners,5,1
Shots,0,0
Total shots,17,5
Shots off target,4,1
Shots on target,8,2
Blocked shots,5,2
Hit woodwork,0,0
Shots inside box,10,4
Shots outside box,7,1
Expected goals (xG),0,0
Expected goals (xG),1.96,0.34
xG open play,1.69,0.34
xG set play,0.27,0.00
xG non-penalty,1.96,0.34
xG on target (xGOT),2.90,0.38
Passes,0,0
Passes,664,312
Accurate passes,598 (90%),243 (78%)
Own half,225,142
Opposition half,373,101
Accurate long balls,19 (54%),20 (44%)
Accurate crosses,2 (10%),2 (18%)
Throws,22,15
Touches in opposition box,41,11
Offsides,3,1
Defence,0,0
Tackles,11,10
Interceptions,5,9
Blocks,2,5
Clearances,15,34
Keeper saves,1,6
Duels,0,0
Duels won,42,41
Ground duels won,35 (55%),29 (45%)
Aerial duels won,7 (37%),12 (63%)
Successful dribbles,8 (57%),7 (58%)
Discipline,0,0
Yellow cards,2,2
Red cards,0,0
Fouls committed,13,18
