stats_name,Spain,Cape Verde
Ball possession,74,26
Expected goals (xG),2.10,0.20
Total shots,27,6
Shots on target,7,1
Touches in opposition box,51,6
Big chances,2,1
Big chances missed,2,1
Accurate passes,734 (92%),205 (74%)
Yellow cards,1,1
Corners,11,1
Shots,0,0
Total shots,27,6
Shots off target,12,3
Shots on target,7,1
Blocked shots,8,2
Hit woodwork,1,0
Shots inside box,16,2
Shots outside box,11,4
Expected goals (xG),0,0
Expected goals (xG),2.10,0.20
xG open play,1.67,0.06
xG set play,0.43,0.14
xG non-penalty,2.10,0.20
xG on target (xGOT),1.45,0.13
Passes,0,0
Passes,800,278
Accurate passes,734 (92%),205 (74%)
Own half,128,176
Opposition half,606,29
Accurate long balls,24 (80%),19 (34%)
Accurate crosses,6 (17%),1 (25%)
Throws,18,14
Touches in opposition box,51,6
Offsides,2,3
Defence,0,0
Tackles,13,18
Interceptions,6,15
Blocks,2,6
Clearances,7,46
Keeper saves,1,7
Duels,0,0
Duels won,40,40
Ground duels won,21 (40%),31 (60%)
Aerial duels won,19 (68%),9 (32%)
Successful dribbles,7 (54%),4 (36%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,10,1
