stats_name,Spain,Saudi Arabia
Ball possession,67,33
Expected goals (xG),2.30,0.14
Total shots,22,3
Shots on target,8,1
Touches in opposition box,37,2
Big chances,5,0
Big chances missed,2,0
Accurate passes,668 (92%),294 (81%)
Yellow cards,0,2
Corners,6,1
Shots,0,0
Total shots,22,3
Shots off target,12,1
Shots on target,8,1
Blocked shots,2,1
Hit woodwork,1,0
Shots inside box,13,0
Shots outside box,9,3
Expected goals (xG),0,0
Expected goals (xG),2.30,0.14
xG open play,1.87,0.11
xG set play,0.43,0.03
xG non-penalty,2.30,0.14
xG on target (xGOT),3.45,0.10
Passes,0,0
Passes,726,364
Accurate passes,668 (92%),294 (81%)
Own half,270,155
Opposition half,398,139
Accurate long balls,28 (74%),14 (40%)
Accurate crosses,7 (28%),0 (0%)
Throws,16,15
Touches in opposition box,37,2
Offsides,2,3
Defence,0,0
Tackles,10,15
Interceptions,13,13
Blocks,1,2
Clearances,17,35
Keeper saves,1,5
Duels,0,0
Duels won,29,37
Ground duels won,18 (35%),33 (65%)
Aerial duels won,11 (73%),4 (27%)
Successful dribbles,7 (44%),8 (67%)
Discipline,0,0
Yellow cards,0,2
Red cards,0,0
Fouls committed,10,2
