stats_name,Sweden,Tunisia
Ball possession,49,51
Expected goals (xG),1.33,0.28
Total shots,13,6
Shots on target,7,2
Touches in opposition box,22,10
Big chances,4,0
Big chances missed,2,0
Accurate passes,278 (78%),292 (79%)
Yellow cards,0,1
Corners,4,2
Shots,0,0
Total shots,13,6
Shots off target,3,3
Shots on target,7,2
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,9,2
Shots outside box,4,4
Expected goals (xG),0,0
Expected goals (xG),1.33,0.28
xG open play,1.11,0.05
xG set play,0.22,0.23
xG non-penalty,1.33,0.28
xG on target (xGOT),2.12,0.35
Passes,0,0
Passes,356,371
Accurate passes,278 (78%),292 (79%)
Own half,144,147
Opposition half,134,145
Accurate long balls,22 (38%),24 (45%)
Accurate crosses,3 (25%),3 (23%)
Throws,18,17
Touches in opposition box,22,10
Offsides,3,6
Defence,0,0
Tackles,14,21
Interceptions,6,6
Blocks,1,4
Clearances,23,13
Keeper saves,1,1
Duels,0,0
Duels won,41,51
Ground duels won,26 (42%),36 (58%)
Aerial duels won,15 (50%),15 (50%)
Successful dribbles,5 (42%),7 (44%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,10,8
