stats_name,Switzerland,Algeria
Ball possession,44,56
Expected goals (xG),2.45,0.74
Total shots,11,8
Shots on target,5,2
Touches in opposition box,28,15
Big chances,2,2
Big chances missed,1,2
Accurate passes,355 (81%),478 (85%)
Yellow cards,0,2
Corners,4,2
Shots,0,0
Total shots,11,8
Shots off target,4,3
Shots on target,5,2
Blocked shots,2,3
Hit woodwork,0,0
Shots inside box,9,5
Shots outside box,2,3
Expected goals (xG),0,0
Expected goals (xG),2.45,0.74
xG open play,2.27,0.74
xG set play,0.18,0.00
xG non-penalty,2.45,0.74
xG on target (xGOT),1.29,0.28
Passes,0,0
Passes,438,563
Accurate passes,355 (81%),478 (85%)
Own half,213,248
Opposition half,142,230
Accurate long balls,21 (40%),29 (46%)
Accurate crosses,4 (29%),1 (17%)
Throws,20,17
Touches in opposition box,28,15
Offsides,0,2
Defence,0,0
Tackles,20,21
Interceptions,17,10
Blocks,3,3
Clearances,23,14
Keeper saves,2,2
Duels,0,0
Duels won,60,53
Ground duels won,45 (52%),42 (48%)
Aerial duels won,15 (58%),11 (42%)
Successful dribbles,13 (52%),11 (50%)
Discipline,0,0
Yellow cards,0,2
Red cards,0,0
Fouls committed,10,12
