stats_name,Switzerland,Bosnia and Herzegovina
Ball possession,62,38
Expected goals (xG),2.06,0.23
Total shots,13,5
Shots on target,7,3
Touches in opposition box,35,8
Big chances,4,0
Big chances missed,1,0
Accurate passes,516 (88%),287 (81%)
Yellow cards,1,2
Corners,7,3
Shots,0,0
Total shots,13,5
Shots off target,3,1
Shots on target,7,3
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,9,3
Shots outside box,4,2
Expected goals (xG),0,0
Expected goals (xG),2.06,0.23
xG open play,1.03,0.12
xG set play,0.24,0.11
xG non-penalty,1.27,0.23
xG on target (xGOT),2.46,0.27
Passes,0,0
Passes,586,354
Accurate passes,516 (88%),287 (81%)
Own half,223,191
Opposition half,293,96
Accurate long balls,25 (50%),13 (27%)
Accurate crosses,1 (4%),0 (0%)
Throws,21,8
Touches in opposition box,35,8
Offsides,3,1
Defence,0,0
Tackles,19,13
Interceptions,5,11
Blocks,1,3
Clearances,17,36
Keeper saves,2,3
Duels,0,0
Duels won,52,38
Ground duels won,42 (62%),26 (38%)
Aerial duels won,10 (45%),12 (55%)
Successful dribbles,6 (50%),6 (50%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,1
Fouls committed,7,18
