stats_name,Switzerland,Canada
Ball possession,55,45
Expected goals (xG),1.11,1.66
Total shots,6,13
Shots on target,4,7
Touches in opposition box,14,23
Big chances,3,3
Big chances missed,2,2
Accurate passes,369 (83%),271 (80%)
Yellow cards,1,2
Corners,2,7
Shots,0,0
Total shots,6,13
Shots off target,1,3
Shots on target,4,7
Blocked shots,1,3
Hit woodwork,0,0
Shots inside box,5,12
Shots outside box,1,1
Expected goals (xG),0,0
Expected goals (xG),1.11,1.66
xG open play,1.08,1.07
xG set play,0.04,0.59
xG non-penalty,1.11,1.66
xG on target (xGOT),1.17,2.76
Passes,0,0
Passes,443,339
Accurate passes,369 (83%),271 (80%)
Own half,250,119
Opposition half,119,152
Accurate long balls,17 (38%),20 (47%)
Accurate crosses,1 (17%),6 (23%)
Throws,25,27
Touches in opposition box,14,23
Offsides,1,3
Defence,0,0
Tackles,16,9
Interceptions,4,13
Blocks,3,1
Clearances,44,19
Keeper saves,6,2
Duels,0,0
Duels won,51,49
Ground duels won,35 (49%),36 (51%)
Aerial duels won,16 (55%),13 (45%)
Successful dribbles,6 (75%),8 (62%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,0
Fouls committed,19,13
