stats_name,Switzerland,Colombia
Ball possession,53,47
Expected goals (xG),0.39,1.09
Total shots,7,15
Shots on target,2,3
Touches in opposition box,18,21
Big chances,0,2
Big chances missed,0,2
Accurate passes,547 (87%),454 (83%)
Yellow cards,3,2
Corners,3,7
Shots,0,0
Total shots,7,15
Shots off target,4,8
Shots on target,2,3
Blocked shots,1,4
Hit woodwork,0,2
Shots inside box,4,9
Shots outside box,3,6
Expected goals (xG),0,0
Expected goals (xG),0.39,1.09
xG open play,0.34,0.82
xG set play,0.05,0.27
xG non-penalty,0.39,1.09
xG on target (xGOT),0.09,0.85
Passes,0,0
Passes,631,547
Accurate passes,547 (87%),454 (83%)
Own half,331,279
Opposition half,216,175
Accurate long balls,32 (52%),33 (42%)
Accurate crosses,1 (7%),3 (16%)
Throws,22,19
Touches in opposition box,18,21
Offsides,5,4
Defence,0,0
Tackles,12,17
Interceptions,14,13
Blocks,4,1
Clearances,35,22
Keeper saves,3,2
Duels,0,0
Duels won,58,61
Ground duels won,39 (45%),47 (55%)
Aerial duels won,19 (58%),14 (42%)
Successful dribbles,8 (42%),10 (63%)
Discipline,0,0
Yellow cards,3,2
Red cards,0,0
Fouls committed,22,21
