stats_name,Tunisia,Japan
Ball possession,38,62
Expected goals (xG),0.05,2.13
Total shots,2,11
Shots on target,0,5
Touches in opposition box,8,17
Big chances,0,4
Big chances missed,0,2
Accurate passes,284 (80%),521 (89%)
Yellow cards,0,0
Corners,3,5
Shots,0,0
Total shots,2,11
Shots off target,1,3
Shots on target,0,5
Blocked shots,1,3
Hit woodwork,0,0
Shots inside box,1,8
Shots outside box,1,3
Expected goals (xG),0,0
Expected goals (xG),0.05,2.13
xG open play,0.00,1.91
xG set play,0.05,0.22
xG non-penalty,0.05,2.13
xG on target (xGOT),0.00,2.73
Passes,0,0
Passes,354,583
Accurate passes,284 (80%),521 (89%)
Own half,173,242
Opposition half,111,279
Accurate long balls,16 (29%),18 (56%)
Accurate crosses,2 (20%),2 (18%)
Throws,29,23
Touches in opposition box,8,17
Offsides,1,1
Defence,0,0
Tackles,18,18
Interceptions,14,7
Blocks,3,1
Clearances,23,25
Keeper saves,1,0
Duels,0,0
Duels won,38,43
Ground duels won,34 (54%),29 (46%)
Aerial duels won,4 (22%),14 (78%)
Successful dribbles,2 (29%),4 (27%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,8,15
