stats_name,Tunisia,Netherlands
Ball possession,29,71
Expected goals (xG),0.62,1.85
Total shots,10,20
Shots on target,4,7
Touches in opposition box,11,44
Big chances,2,2
Big chances missed,1,1
Accurate passes,199 (77%),602 (93%)
Yellow cards,0,0
Corners,4,6
Shots,0,0
Total shots,10,20
Shots off target,5,8
Shots on target,4,7
Blocked shots,1,5
Hit woodwork,0,1
Shots inside box,4,16
Shots outside box,6,4
Expected goals (xG),0,0
Expected goals (xG),0.62,1.85
xG open play,0.28,1.05
xG set play,0.34,0.80
xG non-penalty,0.62,1.85
xG on target (xGOT),0.94,2.21
Passes,0,0
Passes,258,647
Accurate passes,199 (77%),602 (93%)
Own half,124,160
Opposition half,75,442
Accurate long balls,20 (43%),15 (68%)
Accurate crosses,4 (31%),6 (22%)
Throws,12,14
Touches in opposition box,11,44
Offsides,2,1
Defence,0,0
Tackles,17,8
Interceptions,8,10
Blocks,6,1
Clearances,35,17
Keeper saves,4,3
Duels,0,0
Duels won,38,37
Ground duels won,29 (55%),24 (45%)
Aerial duels won,9 (41%),13 (59%)
Successful dribbles,2 (22%),5 (31%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,11,10
