stats_name,Turkiye,Paraguay
Ball possession,78,22
Expected goals (xG),2.17,0.32
Total shots,32,7
Shots on target,5,2
Touches in opposition box,50,12
Big chances,5,0
Big chances missed,5,0
Accurate passes,559 (89%),96 (54%)
Yellow cards,1,1
Corners,12,0
Shots,0,0
Total shots,32,7
Shots off target,15,3
Shots on target,5,2
Blocked shots,12,2
Hit woodwork,1,0
Shots inside box,16,3
Shots outside box,16,4
Expected goals (xG),0,0
Expected goals (xG),2.17,0.32
xG open play,1.79,0.18
xG set play,0.38,0.15
xG non-penalty,2.17,0.32
xG on target (xGOT),0.67,0.21
Passes,0,0
Passes,629,178
Accurate passes,559 (89%),96 (54%)
Own half,172,46
Opposition half,387,50
Accurate long balls,28 (67%),22 (34%)
Accurate crosses,8 (19%),2 (33%)
Throws,34,18
Touches in opposition box,50,12
Offsides,2,3
Defence,0,0
Tackles,17,25
Interceptions,6,9
Blocks,2,12
Clearances,29,48
Keeper saves,1,5
Duels,0,0
Duels won,60,72
Ground duels won,45 (46%),52 (54%)
Aerial duels won,15 (43%),20 (57%)
Successful dribbles,13 (48%),15 (60%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,1
Fouls committed,14,15
