stats_name,Turkiye,USA
Ball possession,47,53
Expected goals (xG),3.05,2.13
Total shots,9,18
Shots on target,3,7
Touches in opposition box,22,36
Big chances,5,4
Big chances missed,2,3
Accurate passes,335 (77%),398 (85%)
Yellow cards,0,1
Corners,2,9
Shots,0,0
Total shots,9,18
Shots off target,4,6
Shots on target,3,7
Blocked shots,2,5
Hit woodwork,0,1
Shots inside box,8,15
Shots outside box,1,3
Expected goals (xG),0,0
Expected goals (xG),3.05,2.13
xG open play,2.19,1.64
xG set play,0.87,0.48
xG non-penalty,3.05,2.13
xG on target (xGOT),2.32,2.36
Passes,0,0
Passes,434,471
Accurate passes,335 (77%),398 (85%)
Own half,177,210
Opposition half,158,188
Accurate long balls,23 (35%),16 (38%)
Accurate crosses,0 (0%),5 (26%)
Throws,28,31
Touches in opposition box,22,36
Offsides,2,5
Defence,0,0
Tackles,32,14
Interceptions,9,9
Blocks,5,2
Clearances,24,27
Keeper saves,5,0
Duels,0,0
Duels won,64,46
Ground duels won,52 (60%),34 (40%)
Aerial duels won,12 (50%),12 (50%)
Successful dribbles,9 (69%),7 (41%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,13,13
