stats_name,USA,Australia
Ball possession,62,38
Expected goals (xG),1.08,0.35
Total shots,10,5
Shots on target,2,2
Touches in opposition box,20,20
Big chances,2,0
Big chances missed,1,0
Accurate passes,444 (85%),219 (71%)
Yellow cards,3,4
Corners,7,4
Shots,0,0
Total shots,10,5
Shots off target,2,3
Shots on target,2,2
Blocked shots,6,0
Hit woodwork,0,0
Shots inside box,8,3
Shots outside box,2,2
Expected goals (xG),0,0
Expected goals (xG),1.08,0.35
xG open play,0.40,0.35
xG set play,0.68,0.00
xG non-penalty,1.08,0.35
xG on target (xGOT),1.31,0.09
Passes,0,0
Passes,523,310
Accurate passes,444 (85%),219 (71%)
Own half,223,110
Opposition half,221,109
Accurate long balls,26 (44%),19 (41%)
Accurate crosses,4 (29%),4 (21%)
Throws,18,22
Touches in opposition box,20,20
Offsides,1,0
Defence,0,0
Tackles,20,13
Interceptions,20,6
Blocks,0,6
Clearances,31,24
Keeper saves,2,1
Duels,0,0
Duels won,59,64
Ground duels won,44 (54%),37 (46%)
Aerial duels won,15 (36%),27 (64%)
Successful dribbles,11 (65%),14 (56%)
Discipline,0,0
Yellow cards,3,4
Red cards,0,0
Fouls committed,12,16
