stats_name,USA,Belgium
Ball possession,56,44
Expected goals (xG),0.63,2.01
Total shots,7,15
Shots on target,2,7
Touches in opposition box,12,22
Big chances,0,4
Big chances missed,0,2
Accurate passes,459 (87%),334 (81%)
Yellow cards,2,0
Corners,3,5
Shots,0,0
Total shots,7,15
Shots off target,5,4
Shots on target,2,7
Blocked shots,0,4
Hit woodwork,0,0
Shots inside box,5,10
Shots outside box,2,5
Expected goals (xG),0,0
Expected goals (xG),0.63,2.01
xG open play,0.14,1.67
xG set play,0.50,0.34
xG non-penalty,0.63,2.01
xG on target (xGOT),0.22,3.51
Passes,0,0
Passes,527,414
Accurate passes,459 (87%),334 (81%)
Own half,206,213
Opposition half,253,121
Accurate long balls,19 (53%),18 (30%)
Accurate crosses,2 (18%),5 (33%)
Throws,25,18
Touches in opposition box,12,22
Offsides,0,1
Defence,0,0
Tackles,20,22
Interceptions,9,9
Blocks,4,0
Clearances,23,18
Keeper saves,3,1
Duels,0,0
Duels won,52,55
Ground duels won,40 (48%),43 (52%)
Aerial duels won,12 (50%),12 (50%)
Successful dribbles,11 (58%),10 (50%)
Discipline,0,0
Yellow cards,2,0
Red cards,0,0
Fouls committed,11,9
