stats_name,USA,Bosnia and Herzegovina
Ball possession,48,52
Expected goals (xG),0.88,0.25
Total shots,8,10
Shots on target,2,3
Touches in opposition box,23,7
Big chances,2,0
Big chances missed,1,0
Accurate passes,349 (84%),367 (82%)
Yellow cards,0,1
Corners,4,3
Shots,0,0
Total shots,8,10
Shots off target,4,4
Shots on target,2,3
Blocked shots,2,3
Hit woodwork,1,0
Shots inside box,6,5
Shots outside box,2,5
Expected goals (xG),0,0
Expected goals (xG),0.88,0.25
xG open play,0.65,0.24
xG set play,0.24,0.02
xG non-penalty,0.88,0.25
xG on target (xGOT),0.29,0.13
Passes,0,0
Passes,415,449
Accurate passes,349 (84%),367 (82%)
Own half,150,213
Opposition half,199,154
Accurate long balls,17 (40%),12 (24%)
Accurate crosses,3 (21%),0 (0%)
Throws,20,20
Touches in opposition box,23,7
Offsides,3,0
Defence,0,0
Tackles,12,15
Interceptions,7,7
Blocks,3,2
Clearances,28,24
Keeper saves,3,0
Duels,0,0
Duels won,47,33
Ground duels won,34 (58%),25 (42%)
Aerial duels won,13 (62%),8 (38%)
Successful dribbles,9 (47%),3 (27%)
Discipline,0,0
Yellow cards,0,1
Red cards,1,0
Fouls committed,7,13
