stats_name,USA,Paraguay
Ball possession,65,35
Expected goals (xG),1.42,0.54
Total shots,16,9
Shots on target,6,1
Touches in opposition box,53,11
Big chances,4,1
Big chances missed,2,0
Accurate passes,509 (85%),232 (73%)
Yellow cards,1,5
Corners,3,1
Shots,0,0
Total shots,16,9
Shots off target,6,3
Shots on target,6,1
Blocked shots,4,5
Hit woodwork,0,0
Shots inside box,13,4
Shots outside box,3,5
Expected goals (xG),0,0
Expected goals (xG),1.42,0.54
xG open play,1.36,0.24
xG set play,0.06,0.29
xG non-penalty,1.42,0.54
xG on target (xGOT),2.54,0.42
Passes,0,0
Passes,598,319
Accurate passes,509 (85%),232 (73%)
Own half,232,164
Opposition half,277,68
Accurate long balls,26 (54%),20 (34%)
Accurate crosses,3 (16%),0 (0%)
Throws,23,17
Touches in opposition box,53,11
Offsides,2,1
Defence,0,0
Tackles,9,21
Interceptions,9,10
Blocks,3,4
Clearances,15,33
Keeper saves,0,3
Duels,0,0
Duels won,65,55
Ground duels won,47 (55%),39 (45%)
Aerial duels won,18 (53%),16 (47%)
Successful dribbles,22 (63%),6 (60%)
Discipline,0,0
Yellow cards,1,5
Red cards,0,0
Fouls committed,13,17
