stats_name,Uruguay,Cape Verde
Ball possession,65,35
Expected goals (xG),2.32,0.88
Total shots,17,12
Shots on target,2,4
Touches in opposition box,34,10
Big chances,2,1
Big chances missed,0,0
Accurate passes,420 (82%),205 (74%)
Yellow cards,2,2
Corners,11,4
Shots,0,0
Total shots,17,12
Shots off target,8,4
Shots on target,2,4
Blocked shots,7,4
Hit woodwork,1,0
Shots inside box,9,2
Shots outside box,8,10
Expected goals (xG),0,0
Expected goals (xG),2.32,0.88
xG open play,2.00,0.66
xG set play,0.31,0.22
xG non-penalty,2.32,0.88
xG on target (xGOT),1.65,1.26
Passes,0,0
Passes,511,278
Accurate passes,420 (82%),205 (74%)
Own half,103,133
Opposition half,317,72
Accurate long balls,23 (48%),18 (30%)
Accurate crosses,4 (14%),2 (29%)
Throws,30,19
Touches in opposition box,34,10
Offsides,3,0
Defence,0,0
Tackles,16,16
Interceptions,7,13
Blocks,4,7
Clearances,11,48
Keeper saves,2,0
Duels,0,0
Duels won,47,55
Ground duels won,27 (41%),39 (59%)
Aerial duels won,20 (56%),16 (44%)
Successful dribbles,7 (39%),12 (71%)
Discipline,0,0
Yellow cards,2,2
Red cards,0,0
Fouls committed,11,4
