stats_name,Uruguay,Spain
Ball possession,33,67
Expected goals (xG),0.20,0.86
Total shots,5,6
Shots on target,1,1
Touches in opposition box,12,19
Big chances,1,1
Big chances missed,1,1
Accurate passes,228 (76%),553 (89%)
Yellow cards,3,1
Corners,1,6
Shots,0,0
Total shots,5,6
Shots off target,3,4
Shots on target,1,1
Blocked shots,1,1
Hit woodwork,0,1
Shots inside box,2,5
Shots outside box,3,1
Expected goals (xG),0,0
Expected goals (xG),0.20,0.86
xG open play,0.13,0.73
xG set play,0.07,0.12
xG non-penalty,0.20,0.86
xG on target (xGOT),0.10,0.20
Passes,0,0
Passes,301,622
Accurate passes,228 (76%),553 (89%)
Own half,103,327
Opposition half,125,226
Accurate long balls,15 (35%),18 (53%)
Accurate crosses,1 (6%),3 (25%)
Throws,16,12
Touches in opposition box,12,19
Offsides,5,2
Defence,0,0
Tackles,25,17
Interceptions,14,9
Blocks,1,1
Clearances,14,23
Keeper saves,0,2
Duels,0,0
Duels won,51,55
Ground duels won,46 (54%),39 (46%)
Aerial duels won,5 (24%),16 (76%)
Successful dribbles,7 (47%),9 (43%)
Discipline,0,0
Yellow cards,3,1
Red cards,1,0
Fouls committed,14,14
