stats_name,Uzbekistan,Colombia
Ball possession,39,61
Expected goals (xG),1.16,1.61
Total shots,8,15
Shots on target,2,4
Touches in opposition box,5,27
Big chances,1,4
Big chances missed,0,1
Accurate passes,243 (76%),444 (86%)
Yellow cards,1,1
Corners,3,4
Shots,0,0
Total shots,8,15
Shots off target,4,7
Shots on target,2,4
Blocked shots,2,4
Hit woodwork,2,1
Shots inside box,4,10
Shots outside box,4,5
Expected goals (xG),0,0
Expected goals (xG),1.16,1.61
xG open play,1.11,1.39
xG set play,0.05,0.22
xG non-penalty,1.16,1.61
xG on target (xGOT),1.19,1.36
Passes,0,0
Passes,319,519
Accurate passes,243 (76%),444 (86%)
Own half,148,206
Opposition half,95,238
Accurate long balls,17 (32%),17 (35%)
Accurate crosses,3 (23%),6 (38%)
Throws,24,26
Touches in opposition box,5,27
Offsides,0,3
Defence,0,0
Tackles,10,10
Interceptions,7,6
Blocks,4,2
Clearances,24,20
Keeper saves,1,1
Duels,0,0
Duels won,34,36
Ground duels won,24 (46%),28 (54%)
Aerial duels won,10 (56%),8 (44%)
Successful dribbles,5 (50%),5 (42%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,14,11
