timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
8,VAR,,14205948.0,0,0,/players/1345875/fares-chaibi,False,False,"['var_goal_cancelled', 'offside']","['Goal ruled out', 'offside']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Goal,,14205950.0,0,0,/players/30981/lionel-messi,True,,,,,,False,Lionel Messi,30981.0,"[1, 0]",,assist by Rodrigo De Paul,/players/324578/rodrigo-de-paul,324578.0,assist_by,Rodrigo De Paul,2944803569.0,Goal,6706.0,30981.0,Lionel Messi,84.51213592239999,37.756,17.0,,False,True,,,31.636249999999997,1.7914736754,0.0946333184838295,0.2597113847732544,LeftFoot,RegularPlay,FirstHalf,False,1.6253306878306886,0.47393483476190473,1.0,False,False,770880.0,Lionel,Messi,Lionel Messi,#63addf,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nahuel Molina,726345,/players/726345/nahuel-molina
55,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Julián Álvarez,974753,/players/974753/julian-alvarez
55,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nicolás González,841672,/players/841672/nicolas-gonzalez
60,Goal,,14205958.0,1,0,/players/30981/lionel-messi,True,,,,,,False,Lionel Messi,30981.0,"[2, 0]",,,,,,,2944805263.0,Goal,6706.0,30981.0,Lionel Messi,97.0877192975,35.75375,60.0,,False,True,,,31.559999999999995,0.1219999994,0.6327685117721558,0.9322729706764221,RightFoot,RegularPlay,SecondHalf,False,1.6455026455026467,0.032275132116402115,1.0,False,True,770880.0,Lionel,Messi,Lionel Messi,#63addf,,,,,,,,,
64,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Houssem Aouar,776299,/players/776299/houssem-aouar
64,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mohamed Amoura,1134206,/players/1134206/mohamed-amoura
