timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
11,Card,,14217481.0,0,0,/players/110148/marko-arnautovic,False,Marko Arnautovic,110148.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Goal,,14217484.0,0,0,/players/110148/marko-arnautovic,False,Marko Arnautovic,110148.0,,,,,False,"[0, 1]",,assist by David Alaba,/players/121633/david-alaba,121633.0,assist_by,David Alaba,2945663907.0,Goal,8255.0,110148.0,Marko Arnautovic,99.01754385950001,36.745000000000005,28.0,,False,True,,,32.39875,0.0834736838,0.7663676738739014,0.7530890107154846,RightFoot,RegularPlay,FirstHalf,False,1.4236111111111112,0.02208298513227513,1.0,False,True,1116034.0,Marko,Arnautovic,Marko Arnautovic,#c90211,,,,,,,,,
45,Goal,,14217487.0,0,1,/players/1231029/rafik-belghali,True,Rafik Belghali,1231029.0,,,,,False,"[1, 1]",,,,,,,2945665739.0,Goal,6317.0,1231029.0,Rafik Belghali,98.4385964909,25.8228125,45.0,0.0,False,True,,,31.1025,1.8299999910000002,0.0868440642952919,0.674238383769989,LeftFoot,RegularPlay,FirstHalf,False,1.7665343915343916,0.48412698174603175,1.0,False,True,450739.0,Rafik,Belghali,Rafik Belghali,#00977B,,,,,,,,,
45,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Michael Gregoritsch,198316,/players/198316/michael-gregoritsch
46,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Florian Grillitsch,617044,/players/617044/florian-grillitsch
46,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Paul Wanner,1327149,/players/1327149/paul-wanner
55,Goal,,14217501.0,1,1,/players/215151/marcel-sabitzer,False,Marcel Sabitzer,215151.0,,,,,False,"[1, 2]",,assist by Konrad Laimer,/players/526827/konrad-laimer,526827.0,assist_by,Konrad Laimer,2945667443.0,Goal,8255.0,215151.0,Marcel Sabitzer,86.99705882319999,33.61875,55.0,,False,True,,,31.4075,1.3419999934,0.11096564680337906,0.24048186838626862,RightFoot,RegularPlay,SecondHalf,False,1.6858465608465611,0.35502645328042326,1.0,False,False,1116034.0,Marcel,Sabitzer,Marcel Sabitzer,#c90211,,,,,,,,,
60,Goal,,14217504.0,1,2,/players/278343/riyad-mahrez,True,Riyad Mahrez,278343.0,,,,,False,"[2, 2]",,assist by Houssem Aouar,/players/776299/houssem-aouar,776299.0,assist_by,Houssem Aouar,2945667907.0,Goal,6317.0,278343.0,Riyad Mahrez,96.8947368413,27.446428571,60.0,,False,True,,,31.254999999999995,1.3419999934,0.2288125902414322,0.907291054725647,LeftFoot,RegularPlay,SecondHalf,False,1.7261904761904774,0.35502645328042326,1.0,False,True,450739.0,Riyad,Mahrez,Riyad Mahrez,#00977B,,,,,,,,,
62,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kevin Danso,754126,/players/754126/kevin-danso
71,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rayan Aït-Nouri,933845,/players/933845/rayan-ait-nouri
71,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Samir Chergui,1039219,/players/1039219/samir-chergui
71,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Zineddine Belaïd,1118823,/players/1118823/zineddine-belaid
90,AddedTime,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
90 + 3,Goal,3.0,14217534.0,2,2,/players/278343/riyad-mahrez,True,Riyad Mahrez,278343.0,,,,,False,"[3, 2]",,assist by Houssem Aouar,/players/776299/houssem-aouar,776299.0,assist_by,Houssem Aouar,2945671071.0,Goal,6317.0,278343.0,Riyad Mahrez,96.7017543851,25.8228125,90.0,3.0,False,True,,,36.745000000000005,0.3274736826,0.47221285104751587,0.8497264385223389,RightFoot,RegularPlay,SecondHalf,False,0.2738095238095226,0.08663324936507935,1.0,False,True,450739.0,Riyad,Mahrez,Riyad Mahrez,#00977B,,,,,,,,,
90 + 4,Substitution,4.0,,3,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Farès Ghedjemis,1523327,/players/1523327/fares-ghedjemis
90 + 5,Substitution,5.0,,3,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sasa Kalajdzic,858198,/players/858198/sasa-kalajdzic
90 + 6,Goal,6.0,14217541.0,3,2,/players/858198/sasa-kalajdzic,False,Sasa Kalajdzic,858198.0,,,,Header,False,"[3, 3]",,assist by Michael Gregoritsch,/players/198316/michael-gregoritsch,198316.0,assist_by,Michael Gregoritsch,2945671241.0,Goal,8255.0,858198.0,Sasa Kalajdzic,98.24561403470001,31.4075,90.0,6.0,False,True,,,31.559999999999995,0.4879999976,0.1683933585882187,0.3221499025821686,Header,RegularPlay,SecondHalf,False,1.6455026455026467,0.12910052846560846,1.0,False,True,1116034.0,Sasa,Kalajdzic,Sasa Kalajdzic,#c90211,,,,,,,,,
90,Half,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
