timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
10,Goal,,14220157.0,0,0,/players/527103/breel-embolo,True,,,False,Breel Embolo,527103.0,"[1, 0]",,assist by Johan Manzambi,/players/1520063/johan-manzambi,1520063.0,assist_by,Johan Manzambi,2945970749.0,Goal,6717.0,527103.0,Breel Embolo,101.9655172416,34.38125,10.0,,False,True,,,35.9825,0.9374736796,0.972071647644043,0.9941879510879517,LeftFoot,FastBreak,FirstHalf,False,0.47552910052910013,0.24800890994708993,1.0,False,True,770880.0,Breel,Embolo,Breel Embolo,#DD4145,,,,,,,,,,,
36,Card,,14220164.0,1,0,/players/1345875/fares-chaibi,False,,,,Farès Chaïbi,1345875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Goal,,14220173.0,1,0,/players/1022649/dan-ndoye,True,,,False,Dan Ndoye,1022649.0,"[2, 0]",,,,,,,2945972829.0,Goal,6717.0,1022649.0,Dan Ndoye,90.4,28.454999999,46.0,,False,True,,,36.821250000000006,0.3659999982,0.09055754542350769,0.1516256481409073,RightFoot,RegularPlay,SecondHalf,False,0.2536375661375645,0.09682539634920634,1.0,False,True,770880.0,Dan,Ndoye,Dan Ndoye,#DD4145,,,,,,,,,,,
58,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jaouen Hadjam,1178324,/players/1178324/jaouen-hadjam
58,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Amine Gouiri,844437,/players/844437/amine-gouiri
70,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Fabian Rieder,1161211,/players/1161211/fabian-rieder
70,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Noah Okafor,915797,/players/915797/noah-okafor
71,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Anis Hadj Moussa,1576876,/players/1576876/anis-hadj-moussa
71,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Hicham Boudaoui,1033099,/players/1033099/hicham-boudaoui
72,Card,,14220188.0,2,0,/players/1033099/hicham-boudaoui,False,,,,Hicham Boudaoui,1033099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
82,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Adil Boulbina,1298669,/players/1298669/adil-boulbina
82,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Zeki Amdouni,1067168,/players/1067168/zeki-amdouni
87,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Silvan Widmer,275034,/players/275034/silvan-widmer
87,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Michel Aebischer,792756,/players/792756/michel-aebischer
90,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,
90,Half,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
