timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,card,cardDescription,cardDescription.localizedKey,cardDescription.defaultText,substitution_name,substitution_id,substitution_profileUrl
15,Goal,,14225172.0,0,0,/players/533403/yasser-ibrahim,False,,Header,False,Yasser Ibrahim,533403.0,"[0, 1]",,assist by Marwan Ateya,/players/1418549/marwan-ateya,1418549.0,assist_by,Marwan Ateya,2946530197.0,Goal,10255.0,533403.0,Yasser Ibrahim,98.535087719,36.8975,15.0,,False,True,,,31.331249999999997,0.9759999952,0.10317593812942505,0.7454059720039368,Header,FromCorner,FirstHalf,False,1.7060185185185193,0.2582010569312169,1.0,False,True,268375.0,Yasser,Ibrahim,Yasser Ibrahim,#DE313C,,,,,,,,,,,,,,,,
21,MissedPenalty,,14225174.0,0,1,/players/30981/lionel-messi,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,,,,,
46,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Hamdi Fathi,1022128,/players/1022128/hamdi-fathi
58,VAR,,14225203.0,0,1,/players/1426403/mostafa-ziko,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"['var_goal_cancelled', 'foul']","['Goal ruled out', 'foul']",,,,,,,
66,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Nicolás González,841672,/players/841672/nicolas-gonzalez
66,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Lautaro Martínez,690230,/players/690230/lautaro-martinez
67,Goal,,14225228.0,0,1,/players/1426403/mostafa-ziko,False,,,False,Mostafa Ziko,1426403.0,"[0, 2]",,assist by Haissem Hassan,/players/971787/haissem-hassan,971787.0,assist_by,Haissem Hassan,2946533407.0,Goal,10255.0,1426403.0,Mostafa Ziko,97.6666666661,33.084999999999994,67.0,,False,True,,,33.8475,1.0979999946,0.6440010070800781,0.469352662563324,RightFoot,FastBreak,SecondHalf,False,1.0403439153439162,0.29047618904761907,1.0,False,True,268375.0,Mostafa,Ziko,Mostafa Ziko,#DE313C,,,,,,,,,,,,,,,,
73,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Gonzalo Montiel,687008,/players/687008/gonzalo-montiel
73,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Trezeguet,513492,/players/513492/trezeguet
79,Goal,,14225266.0,0,2,/players/789066/cristian-romero,True,,Header,False,Cristian Romero,789066.0,"[1, 2]",,assist by Lionel Messi,/players/30981/lionel-messi,30981.0,assist_by,Lionel Messi,2946534195.0,Goal,6706.0,789066.0,Cristian Romero,97.7631578942,32.17,79.0,,False,True,,,31.1025,1.3034736778000002,0.3505224883556366,0.458431214094162,Header,RegularPlay,SecondHalf,False,1.7665343915343916,0.34483430629629636,1.0,False,True,1228546.0,Cristian,Romero,Cristian Romero,#63addf,,,,,,,,,,,,,,,,
80,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Omar Marmoush,839204,/players/839204/omar-marmoush
83,Goal,,14225283.0,1,2,/players/30981/lionel-messi,True,,,False,Lionel Messi,30981.0,"[2, 2]",,assist by Gonzalo Montiel,/players/687008/gonzalo-montiel,687008.0,assist_by,Gonzalo Montiel,2946534567.0,Goal,6706.0,30981.0,Lionel Messi,94.9649122793,30.291999999999998,83.0,,False,True,,,35.3725,1.6694736760000002,0.06951382756233215,0.116173654794693,LeftFoot,RegularPlay,SecondHalf,False,0.6369047619047613,0.44165970264550264,1.0,False,True,1228546.0,Lionel,Messi,Lionel Messi,#63addf,,,,,,,,,,,,,,,,
90,AddedTime,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,,,,,,,,
90 + 2,Goal,2.0,14225292.0,2,2,/players/1137705/enzo-fernandez,True,,Header,False,Enzo Fernández,1137705.0,"[3, 2]",,assist by Lautaro Martínez,/players/690230/lautaro-martinez,690230.0,assist_by,Lautaro Martínez,2946535359.0,Goal,6706.0,1137705.0,Enzo Fernández,97.1842105256,37.66,90.0,2.0,False,True,,,30.95,0.8154736802,0.17076154053211212,0.7603868246078491,Header,FastBreak,SecondHalf,False,1.806878306878306,0.2157337778306878,1.0,False,True,1228546.0,Enzo,Fernández,Enzo Fernández,#63addf,,,,,,,,,,,,,,,,
90 + 3,Card,3.0,14225299.0,3,2,/players/1228546/mostafa-ahmed-shobeir,False,,,,Mostafa Ahmed Shobeir,1228546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,
90 + 4,Card,4.0,14225294.0,3,2,/players/1022128/hamdi-fathi,False,,,,Hamdi Fathi,1022128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,
90 + 5,Substitution,5.0,,3,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Facundo Medina,812652,/players/812652/facundo-medina
90 + 5,Substitution,5.0,,3,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Nicolás Otamendi,174321,/players/174321/nicolas-otamendi
90 + 6,Substitution,6.0,,3,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Zizo,532766,/players/532766/zizo
90 + 8,Card,8.0,14225303.0,3,2,/players/1418549/marwan-ateya,False,,,,Marwan Ateya,1418549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,
90 + 9,Card,9.0,14225304.0,3,2,/players/505814/hossam-hassan,False,,,,Hossam Hassan,505814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,coach,Coach,,,
90 + 12,Card,12.0,14225307.0,3,2,/players/971787/haissem-hassan,False,,,,Haissem Hassan,971787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,not_on_pitch,Not on pitch,,,
90,Half,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,,,,,,
