timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
37,Card,,14232371.0,0,0,/players/1089691/elliot-anderson,True,Elliot Anderson,1089691.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Card,,14232373.0,0,0,/players/847983/lisandro-martinez,False,Lisandro Martínez,847983.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,0,,,,,,,+ 3 minutes added,added_injury_time,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,,0,0,,,,,,,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Card,,14232415.0,0,0,/players/789066/cristian-romero,False,Cristian Romero,789066.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Goal,,14232417.0,0,0,/players/906937/anthony-gordon,True,Anthony Gordon,906937.0,,,,,,,,,,False,"[1, 0]",,assist by Morgan Rogers,/players/883080/morgan-rogers,883080.0,assist_by,Morgan Rogers,2947291391.0,Goal,8491.0,906937.0,Anthony Gordon,100.06896551759999,35.9825,55.0,,False,True,,,36.8975,0.40452631380000004,0.3839074373245239,0.9659401774406433,RightFoot,RegularPlay,SecondHalf,False,0.23346560846560827,0.10701754333333334,1.0,False,True,268375.0,Anthony,Gordon,Anthony Gordon,#6FA3E6,,,,
64,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nicolás González,841672,/players/841672/nicolas-gonzalez
72,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ezri Konsa,710159,/players/710159/ezri-konsa
72,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rodrigo De Paul,324578,/players/324578/rodrigo-de-paul
72,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Gonzalo Montiel,687008,/players/687008/gonzalo-montiel
