timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
13,Card,,14205448.0,0,0,/players/1418549/marwan-ateya,False,Marwan Ateya,1418549.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Card,,14205449.0,0,0,/players/465750/timothy-castagne,True,Timothy Castagne,465750.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Goal,,14205450.0,0,0,/players/979376/emam-ashour,False,Emam Ashour,979376.0,,,,,False,"[0, 1]",,assist by Mohamed Salah,/players/292462/mohamed-salah,292462.0,assist_by,Mohamed Salah,2944750067.0,Goal,10255.0,979376.0,Emam Ashour,83.160679612,36.8975,20.0,,False,True,,,36.51625,0.28252631440000003,0.08019742369651794,0.167461097240448,RightFoot,RegularPlay,FirstHalf,False,0.33432539682539697,0.07474241121693122,1.0,False,False,170323.0,Emam,Ashour,Emam Ashour,#DE313C,,,,,,,,,
34,Card,,14205456.0,0,1,/players/849334/ahmed-abou-el-fotouh,False,Ahmed Abou El Fotouh,849334.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
56,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nicolas Raskin,863869,/players/863869/nicolas-raskin
56,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Maxim De Cuyper,1134871,/players/1134871/maxim-de-cuyper
66,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Romelu Lukaku,181276,/players/181276/romelu-lukaku
66,Goal,,14205471.0,0,1,/players/660213/mohamed-hany,True,Mohamed Hany,660213.0,,,True,Own goal,False,"[1, 1]",,,,,,,2944753113.0,Goal,10255.0,660213.0,Mohamed Hany,5.4051724134,32.856249999999996,66.0,,False,True,,,36.821250000000006,1.5474736766000001,,,LeftFoot,RegularPlay,SecondHalf,True,0.2536375661375645,0.40938457052910054,1.0,False,True,1228546.0,Mohamed,Hany,Mohamed Hany,#DE313C,,,,,,,,,
71,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rami Rabia,505872,/players/505872/rami-rabia
75,Card,,14205476.0,1,1,/players/1134871/maxim-de-cuyper,True,Maxim De Cuyper,1134871.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Zizo,532766,/players/532766/zizo
76,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Hamza Abdelkarim,1708842,/players/1708842/hamza-abdelkarim
85,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Hans Vanaken,203666,/players/203666/hans-vanaken
85,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Matias Fernandez-Pardo,1444231,/players/1444231/matias-fernandez-pardo
88,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Karim Hafez,560416,/players/560416/karim-hafez
88,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ibrahim Adel,1272436,/players/1272436/ibrahim-adel
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,
90,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
