timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,isPenaltyShootoutEvent,penShootoutScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,ownGoal,goalDescription,fullName,playerId,newScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
14,MissedPenalty,,14224528.0,0,0,/players/850354/bruno-guimaraes,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,0,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,,0,0,,,,,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Substitution,0.0,,0,0,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Schjelderup,1228558,/players/1228558/andreas-schjelderup
46,Substitution,0.0,,0,0,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Bobb,1113790,/players/1113790/oscar-bobb
58,Substitution,0.0,,0,0,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endrick,1406729,/players/1406729/endrick
63,Substitution,0.0,,0,0,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fredrik Aursnes,310768,/players/310768/fredrik-aursnes
67,Substitution,0.0,,0,0,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danilo,1181700,/players/1181700/danilo
67,Substitution,0.0,,0,0,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neymar,19533,/players/19533/neymar
79,Substitution,0.0,,0,0,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Éderson,957203,/players/957203/ederson
79,Goal,,14224719.0,0,0,/players/737066/erling-haaland,False,False,,,,,,,,,Header,Erling Haaland,737066.0,"[0, 1]",assist by Andreas Schjelderup,/players/1228558/andreas-schjelderup,1228558.0,assist_by,Andreas Schjelderup,2946383207.0,Goal,8492.0,737066.0,Erling Haaland,96.8947368413,32.551249999999996,79.0,,False,True,,,32.17,0.6099999970000001,0.07673566043376923,0.3199410140514374,Header,RegularPlay,SecondHalf,False,1.4841269841269837,0.16137566058201058,1.0,False,True,319784.0,Erling,Haaland,Erling Haaland,#b53032,,,,,
90,Goal,,14224724.0,0,1,/players/737066/erling-haaland,False,False,,,,,,,,,,Erling Haaland,737066.0,"[0, 2]",assist by Andreas Schjelderup,/players/1228558/andreas-schjelderup,1228558.0,assist_by,Andreas Schjelderup,2946384317.0,Goal,8492.0,737066.0,Erling Haaland,86.99705882319999,46.0326114612,90.0,0.0,False,True,,,30.797499999999996,0.0385263156,0.03863433748483658,0.3759174942970276,LeftFoot,RegularPlay,SecondHalf,False,1.8472222222222223,0.010192146984126984,1.0,False,False,319784.0,Erling,Haaland,Erling Haaland,#b53032,,,,,
90,AddedTime,,,0,2,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 + 5,Substitution,5.0,,0,2,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leo Østigard,740944,/players/740944/leo-ostigard
90 + 6,Card,6.0,14224728.0,0,2,/players/19533/neymar,True,,,,,,,,,,,Neymar,19533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
90 + 10,Goal,10.0,14224729.0,0,2,/players/19533/neymar,True,False,,,,,,,,,Penalty,Neymar,19533.0,"[1, 2]",,,,,,2946385397.0,Goal,8256.0,19533.0,Neymar,94.0,34.0,90.0,10.0,False,True,,,32.09375,0.20547368320000003,0.7884,0.7529345154762268,RightFoot,Penalty,SecondHalf,False,1.5042989417989419,0.05435811724867726,1.0,False,True,73409.0,,Neymar,Neymar,#2b9217,,,,,
90,Half,,,1,2,,,,,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
