timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,shortName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.shortName,shotmapEvent.teamColor,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14213681.0,0,0,/players/846033/vinicius-junior,False,,,False,Vinícius Júnior,Vinicius,846033.0,"[0, 1]",,assist by Rayan,/players/1478295/rayan,1478295.0,assist_by,Rayan,2945370909.0,Goal,8256.0,846033.0,Vinícius Júnior,97.2807017537,33.2375,7.0,,False,True,,,33.61875,0.160526315,0.9465783834457397,0.9951905012130737,RightFoot,RegularPlay,FirstHalf,False,1.1008597883597888,0.042467279100529096,1.0,False,True,760746.0,Vinícius,Júnior,Vinícius Júnior,Vinicius,#2b9217,,,,,,,,,,,,,,
22,VAR,,14213685.0,0,1,/players/846033/vinicius-junior,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"['var_goal_cancelled', 'foul']","['Goal ruled out', 'foul']",,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,
45 + 3,Goal,3.0,14213691.0,0,1,/players/846033/vinicius-junior,False,,Header,False,Vinícius Júnior,Vinicius,846033.0,"[0, 2]",,assist by Bruno Guimarães,/players/850354/bruno-guimaraes,850354.0,assist_by,Bruno Guimarães,2945373809.0,Goal,8256.0,846033.0,Vinícius Júnior,101.9655172416,36.440000000000005,45.0,3.0,False,True,,,35.83,1.4254736772,0.7664638161659241,0.9949530363082886,Header,RegularPlay,FirstHalf,False,0.5158730158730164,0.3771094384126984,1.0,False,True,760746.0,Vinícius,Júnior,Vinícius Júnior,Vinicius,#2b9217,,,,,,,,,,,,,,
45,Half,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Kieran Tierney,582499,/players/582499/kieran-tierney
60,Goal,,14213697.0,0,2,/players/863098/matheus-cunha,False,,,False,Matheus Cunha,,863098.0,"[0, 3]",,assist by Bruno Guimarães,/players/850354/bruno-guimaraes,850354.0,assist_by,Bruno Guimarães,2945376683.0,Goal,8256.0,863098.0,Matheus Cunha,93.5,27.782619046999997,60.0,,False,True,,,32.09375,0.160526315,0.08969003707170486,0.6108216047286987,RightFoot,RegularPlay,SecondHalf,False,1.5042989417989419,0.042467279100529096,1.0,False,True,760746.0,Matheus,Cunha,Matheus Cunha,,#2b9217,,,,,,,,,,,,,,
62,Card,,14213700.0,0,3,/players/208077/danilo,False,,,,Danilo,,208077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
66,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Gabriel Martinelli,1021586,/players/1021586/gabriel-martinelli
66,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Fabinho,359188,/players/359188/fabinho
76,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Neymar,19533,/players/19533/neymar
81,Substitution,0.0,,0,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ryan Christie,439369,/players/439369/ryan-christie
81,Substitution,0.0,,0,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Anthony Ralston,668422,/players/668422/anthony-ralston
82,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Alex Sandro,157865,/players/157865/alex-sandro
82,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Endrick,1406729,/players/1406729/endrick
82,Card,,14213741.0,0,3,/players/359188/fabinho,False,,,,Fabinho,,359188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
89,Card,,14213747.0,0,3,/players/439369/ryan-christie,True,,,,Ryan Christie,,439369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
90,AddedTime,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,
90 + 1,Substitution,1.0,,0,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ché Adams,599353,/players/599353/che-adams
90 + 1,Substitution,1.0,,0,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Findlay Curtis,1558461,/players/1558461/findlay-curtis
90,Half,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
