timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
11,Card,,14199547.0,0,0,/players/1055426/alistair-johnston,True,Alistair Johnston,1055426.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Goal,,14199560.0,0,0,/players/1174844/jovo-lukic,False,Jovo Lukic,1174844.0,,,,Header,False,"[0, 1]",,assist by Sead Kolasinac,/players/304345/sead-kolasinac,304345.0,assist_by,Sead Kolasinac,2944379551.0,Goal,10106.0,1174844.0,Jovo Lukic,103.2931034484,33.084999999999994,21.0,,False,True,,,34.533750000000005,0.8539999958000001,0.6399672031402588,0.9868106842041016,Header,FromCorner,FirstHalf,False,0.8587962962962951,0.22592592481481483,1.0,False,True,464919.0,Jovo,Lukic,Jovo Lukic,#027EB0,,,,,,,,,
44,Card,,14199597.0,0,1,/players/840241/ermedin-demirovic,False,Ermedin Demirovic,840241.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45 + 1,Card,1.0,14199600.0,0,1,/players/1174844/jovo-lukic,False,Jovo Lukic,1174844.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
53,Card,,14199664.0,0,1,/players/1399943/luc-de-fougerolles,True,Luc De Fougerolles,1399943.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jacob Shaffelburg,1023943,/players/1023943/jacob-shaffelburg
61,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Promise David,1252132,/players/1252132/promise-david
61,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ali Ahmed,1359536,/players/1359536/ali-ahmed
