timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,injuredPlayerOut,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
9,Card,,14207376.0,0,0,/players/847629/derek-cornelius,True,Derek Cornelius,847629.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Goal,,14207377.0,0,0,/players/544312/cyle-larin,True,Cyle Larin,544312.0,,,,,False,"[1, 0]",,,,2944924915.0,Goal,5810.0,544312.0,Cyle Larin,100.732758621,34.305,16.0,,False,True,,,31.331249999999997,0.28252631440000003,0.3086930215358734,0.7582342028617859,LeftFoot,FromCorner,FirstHalf,False,1.7060185185185193,0.07474241121693122,1.0,False,True,1213141.0,Cyle,Larin,Cyle Larin,#C50011,,,,,,,,,,,,,,,
29,Goal,,14207378.0,1,0,/players/939569/jonathan-david,True,Jonathan David,939569.0,,,,,False,"[2, 0]",,,,2944925195.0,Goal,5810.0,939569.0,Jonathan David,94.38596491070001,24.84,29.0,,False,True,,,31.1025,0.4879999976,0.10065743327140808,0.3858790695667267,RightFoot,RegularPlay,FirstHalf,False,1.7665343915343916,0.12910052846560846,1.0,False,True,1213141.0,Jonathan,David,Jonathan David,#C50011,,,,,,,,,,,,,,,
31,VAR,,14207379.0,2,0,/players/937414/homam-elamin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,['var_yellow_card_removed'],['Yellow card cancelled'],,,,,,,,,,,,
31,VAR,,14207380.0,2,0,/players/1026135/tajon-buchanan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,['var_penalty_cancelled'],['Penalty cancelled'],,,,,,,,,,,,
33,Card,,14207381.0,2,0,/players/937414/homam-elamin,False,Homam Elamin,937414.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Sultan Al Brake,644014,/players/644014/sultan-al-brake
45,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,
45 + 3,Goal,3.0,14207384.0,2,0,/players/939569/jonathan-david,True,Jonathan David,939569.0,,,,,False,"[3, 0]",,,,2944925931.0,Goal,5810.0,939569.0,Jonathan David,104.3362068966,33.8475,45.0,3.0,False,True,,,33.5425,0.5714736814000001,0.9815776944160461,0.9927186965942383,RightFoot,RegularPlay,FirstHalf,False,1.121031746031747,0.15118351359788362,1.0,False,True,1213141.0,Jonathan,David,Jonathan David,#C50011,,,,,,,,,,,,,,,
45,Half,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Mohamed Al Mannai,1553870,/players/1553870/mohamed-al-mannai
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Ahmed Fathi,898424,/players/898424/ahmed-fathi
46,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Moïse Bombito,1440009,/players/1440009/moise-bombito
51,VAR,,14207393.0,3,0,/players/615414/assim-madibo,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,['var_yellow_card_removed'],['Yellow card cancelled'],,,,,,,,,,,,
51,Card,,14207394.0,3,0,/players/615414/assim-madibo,False,Assim Madibo,615414.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,Nathan Saliba,1216798,/players/1216798/nathan-saliba
59,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Hashmi Al Hussain,1642780,/players/1642780/hashmi-al-hussain
62,Card,,14207400.0,3,0,/players/898424/ahmed-fathi,False,Ahmed Fathi,898424.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Goal,,14207401.0,3,0,/players/1216798/nathan-saliba,True,Nathan Saliba,1216798.0,,,,Direct freekick,False,"[4, 0]",,,,2944927543.0,Goal,5810.0,1216798.0,Nathan Saliba,82.4849514568,25.4759375,64.0,,False,True,,,31.865,0.0834736838,0.06315506249666214,0.19023160636425018,RightFoot,FreeKick,SecondHalf,False,1.5648148148148162,0.02208298513227513,1.0,False,False,1213141.0,Nathan,Saliba,Nathan Saliba,#C50011,,,,,,,,,,,,,,,
71,Substitution,0.0,,4,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Jacob Shaffelburg,1023943,/players/1023943/jacob-shaffelburg
71,Substitution,0.0,,4,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Tani Oluwaseyi,1338740,/players/1338740/tani-oluwaseyi
75,Goal,,14207409.0,4,0,/players/1553870/mohamed-al-mannai,True,Mohamed Al Mannai,1553870.0,,,True,Own goal,False,"[5, 0]",,,,2944928111.0,Goal,5902.0,1553870.0,Mohamed Al Mannai,2.5603448274000002,36.745000000000005,75.0,,False,True,,,32.0175,0.7319999964,,,RightFoot,RegularPlay,SecondHalf,True,1.5244708994709,0.19365079269841268,1.0,False,True,1213141.0,Mohamed,Al Mannai,Mohamed Al Mannai,#983840,,,,,,,,,,,,,,,
83,Substitution,0.0,,5,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Niko Sigur,1494508,/players/1494508/niko-sigur
87,Substitution,0.0,,5,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Lucas Mendes,149583,/players/149583/lucas-mendes
90,AddedTime,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 9 minutes added,added_injury_time,9.0,,,,,,,,
90 + 2,Goal,2.0,14207414.0,5,0,/players/939569/jonathan-david,True,Jonathan David,939569.0,,,,,False,"[6, 0]",,assist by Nathan Saliba,/players/1216798/nathan-saliba,2944929135.0,Goal,5810.0,939569.0,Jonathan David,97.6666666661,38.872619049,90.0,2.0,False,True,,,36.97375,1.3419999934,0.6233164668083191,0.9746246337890625,LeftFoot,RegularPlay,SecondHalf,False,0.21329365079365015,0.35502645328042326,1.0,False,True,1213141.0,Jonathan,David,Jonathan David,#C50011,,,,,,,,,,1216798.0,assist_by,Nathan Saliba,,,
90,Half,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
