timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
29,Goal,,14220747.0,0,0,/players/30981/lionel-messi,True,,,False,Lionel Messi,30981.0,"[1, 0]",,assist by Lisandro Martínez,/players/847983/lisandro-martinez,847983.0,assist_by,Lisandro Martínez,2946029703.0,Goal,6706.0,30981.0,Lionel Messi,101.681034483,27.782619046999997,29.0,,False,True,,,31.254999999999995,1.4254736772,0.2464936226606369,0.57843416929245,LeftFoot,RegularPlay,FirstHalf,False,1.7261904761904774,0.3771094384126984,1.0,False,True,422149.0,Lionel,Messi,Lionel Messi,#63addf,,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
59,Goal,,14220749.0,1,0,/players/798069/deroy-duarte,False,,,False,Deroy Duarte,798069.0,"[1, 1]",,assist by Ryan Mendes,/players/172615/ryan-mendes,172615.0,assist_by,Ryan Mendes,2946031615.0,Goal,5888.0,798069.0,Deroy Duarte,100.6379310348,22.738089176099997,59.0,,False,True,,,35.525000000000006,0.20547368320000003,0.04529939964413643,0.07517778128385544,RightFoot,RegularPlay,SecondHalf,False,0.5965608465608451,0.05435811724867726,1.0,False,True,268375.0,Deroy,Duarte,Deroy Duarte,#1B2C5F,,,,,,,,,,,
63,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Julián Álvarez,974753,/players/974753/julian-alvarez
63,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Nicolás González,841672,/players/841672/nicolas-gonzalez
67,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Jamiro Monteiro,680905,/players/680905/jamiro-monteiro
67,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Dailon Livramento,1309634,/players/1309634/dailon-livramento
68,Card,,14220759.0,1,1,/players/890503/kevin-pina,False,,,,Kevin Pina,890503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
80,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Willy Semedo,873832,/players/873832/willy-semedo
80,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Hélio Varela,1524518,/players/1524518/helio-varela
84,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Leandro Paredes,237606,/players/237606/leandro-paredes
85,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Nicolás Tagliafico,195750,/players/195750/nicolas-tagliafico
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 8 minutes added,added_injury_time,8.0,,,,,,,,
90,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
92,Goal,,14220773.0,1,1,/players/847983/lisandro-martinez,True,,,False,Lisandro Martínez,847983.0,"[2, 1]",,assist by Alexis Mac Allister,/players/831489/alexis-mac-allister,831489.0,assist_by,Alexis Mac Allister,2946035015.0,Goal,6706.0,847983.0,Lisandro Martínez,99.21052631570001,22.247643316,92.0,,False,True,,,31.559999999999995,1.8299999910000002,0.05168602615594864,0.3539385199546814,LeftFoot,FromCorner,FirstHalfExtra,False,1.6455026455026467,0.48412698174603175,1.0,False,True,422149.0,Lisandro,Martínez,Lisandro Martínez,#63addf,,,,,,,,,,,
100,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Gilson Benchimol,1241302,/players/1241302/gilson-benchimol
100,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Yannick Semedo,1205410,/players/1205410/yannick-semedo
103,Goal,,14220781.0,2,1,/players/1441786/sidny-lopes-cabral,False,,,False,Sidny Lopes Cabral,1441786.0,"[2, 2]",,assist by Yannick Semedo,/players/1205410/yannick-semedo,1205410.0,assist_by,Yannick Semedo,2946036943.0,Goal,5888.0,1441786.0,Sidny Lopes Cabral,91.3,52.3383439482,103.0,,False,True,,,30.797499999999996,2.0354736742,0.03291329741477966,0.7656576037406921,RightFoot,RegularPlay,FirstHalfExtra,False,1.8472222222222223,0.538485098994709,1.0,False,True,268375.0,Sidny Lopes,Cabral,Sidny Lopes Cabral,#1B2C5F,,,,,,,,,,,
104,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Gonzalo Montiel,687008,/players/687008/gonzalo-montiel
105,AddedTime,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 3 minutes added,added_injury_time,3.0,,,,,,,,
111,Goal,,14220790.0,2,2,/players/496648/diney-borges,True,True,Own goal,False,Diney Borges,496648.0,"[3, 2]",,,,,,,2946039147.0,Goal,5888.0,496648.0,Diney Borges,4.3620689652,31.865,111.0,,False,True,,,31.7125,1.0979999946,,,OtherBodyParts,FromCorner,SecondHalfExtra,True,1.6051587301587305,0.29047618904761907,1.0,False,True,422149.0,Diney,Borges,Diney Borges,#1B2C5F,,,,,,,,,,,
115,Card,,14220793.0,3,2,/players/687008/gonzalo-montiel,True,,,,Gonzalo Montiel,687008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
120,AddedTime,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 3 minutes added,added_injury_time,3.0,,,,,,,,
120,Half,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AET,afterextratime_short,,,,,,
