timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,addedTime,penalty,VAR,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14219456.0,0,0,/players/1302121/brian-cipenga,False,,,False,Brian Cipenga,1302121.0,"[0, 1]",,assist by Chancel Mbemba,/players/277761/chancel-mbemba,277761.0,assist_by,Chancel Mbemba,2945879909.0,Goal,6321.0,1302121.0,Brian Cipenga,96.0263157884,47.50394904150001,7.0,,False,True,,,36.745000000000005,0.3659999982,0.07573293894529343,0.24888336658477783,RightFoot,RegularPlay,FirstHalf,False,0.2738095238095226,0.09682539634920634,1.0,False,True,303919.0,Brian,Cipenga,Brian Cipenga,#1F7EB8,,,,,,,,,,,,,,
19,Card,,14219459.0,0,1,/players/1077894/jude-bellingham,True,,,,Jude Bellingham,1077894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,
27,Card,,14219460.0,0,1,/players/1359649/noah-sadiki,False,,,,Noah Sadiki,1359649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,
,Comment,,0.0,0,1,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Anthony Gordon,906937,/players/906937/anthony-gordon
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Bukayo Saka,961995,/players/961995/bukayo-saka
64,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Meschack Elia,694060,/players/694060/meschack-elia
70,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Eberechi Eze,818975,/players/818975/eberechi-eze
75,Goal,,14219491.0,0,1,/players/194165/harry-kane,True,,Header,False,Harry Kane,194165.0,"[1, 1]",,assist by Anthony Gordon,/players/906937/anthony-gordon,906937.0,assist_by,Anthony Gordon,2945888665.0,Goal,8491.0,194165.0,Harry Kane,97.4736842099,31.4075,75.0,,False,True,,,36.8975,0.8925263114,0.31616613268852234,0.5784964561462402,Header,RegularPlay,SecondHalf,False,0.23346560846560827,0.2361180717989418,1.0,False,True,912286.0,Harry,Kane,Harry Kane,#6FA3E6,,,,,,,,,,,,,,
76,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Edo Kayembe,909803,/players/909803/edo-kayembe
76,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Théo Bongonda,466132,/players/466132/theo-bongonda
