timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
6,Goal,,14206330.0,0,0,/players/1342757/joao-neves,True,,Header,False,João Neves,1342757.0,"[1, 0]",,assist by Pedro Neto,/players/843040/pedro-neto,843040.0,assist_by,Pedro Neto,2944851551.0,Goal,8361.0,1342757.0,João Neves,95.35087719170001,36.440000000000005,6.0,,False,True,,,31.254999999999995,1.2199999940000001,0.05235224589705467,0.5263319611549377,Header,RegularPlay,FirstHalf,False,1.7261904761904774,0.32275132116402117,1.0,False,True,912286.0,João,Neves,João Neves,#ab0027,,,,,,,,,,,
13,Card,,14206339.0,1,0,/players/488139/bernardo-silva,True,,,,Bernardo Silva,488139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
32,Card,,14206360.0,1,0,/players/277761/chancel-mbemba,False,,,,Chancel Mbemba,277761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45 + 5,Goal,5.0,14206370.0,1,0,/players/666857/yoane-wissa,False,,Header,False,Yoane Wissa,666857.0,"[1, 1]",,assist by Arthur Masuaku,/players/418137/arthur-masuaku,418137.0,assist_by,Arthur Masuaku,2944854691.0,Goal,6321.0,666857.0,Yoane Wissa,99.784482759,36.5925,45.0,5.0,False,True,,,35.83,2.0354736742,0.39415258169174194,0.8060007691383362,Header,FromCorner,FirstHalf,False,0.5158730158730164,0.538485098994709,1.0,False,True,795630.0,Yoane,Wissa,Yoane Wissa,#1F7EB8,,,,,,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Francisco Conceição,1185336,/players/1185336/francisco-conceicao
57,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Noah Sadiki,1359649,/players/1359649/noah-sadiki
72,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rafael Leão,848844,/players/848844/rafael-leao
72,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nélson Semedo,470834,/players/470834/nelson-semedo
