timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
10,Goal,,14217384.0,0,0,/players/619513/eldor-shomurodov,False,,,False,Eldor Shomurodov,619513.0,"[0, 1]",,assist by Akmal Mozgovoy,/players/929168/akmal-mozgovoy,929168.0,assist_by,Akmal Mozgovoy,2945641921.0,Goal,8700.0,619513.0,Eldor Shomurodov,97.3771929818,50.3765605078,10.0,,False,True,,,31.48375,1.5474736766000001,0.014302907511591911,0.29334715008735657,LeftFoot,RegularPlay,FirstHalf,False,1.665674603174603,0.40938457052910054,1.0,False,True,912286.0,Eldor,Shomurodov,Eldor Shomurodov,#294AA7,,,,,,,,,,,,,,
17,VAR,,14217388.0,0,1,/players/1049799/nathanael-mbuku,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"['var_goal_cancelled', 'foul']","['Goal ruled out', 'foul']",,,,,,,,,,,
21,Card,,14217392.0,0,1,/players/1359649/noah-sadiki,True,,,,Noah Sadiki,1359649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
43,Card,,14217406.0,0,1,/players/1362998/abdukodir-khusanov,False,,,,Abdukodir Khusanov,1362998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,
45 + 4,Card,4.0,14217408.0,0,1,/players/1049799/nathanael-mbuku,True,,,,Nathanaël Mbuku,1049799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
47,Card,,14217420.0,0,1,/players/1258316/sherzod-nasrulloev,False,,,,Sherzod Nasrulloev,1258316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
51,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Fiston Mayele,1116042,/players/1116042/fiston-mayele
58,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Odildzhon Khamrobekov,619697,/players/619697/odildzhon-khamrobekov
58,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Azizjon Ganiev,629823,/players/629823/azizjon-ganiev
62,Card,,14217431.0,0,1,/players/866108/samuel-moutoussamy,True,,,,Samuel Moutoussamy,866108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
68,Goal,,14217435.0,0,1,/players/666857/yoane-wissa,True,,Penalty,False,Yoane Wissa,666857.0,"[1, 1]",,,,,,,2945655991.0,Goal,6321.0,666857.0,Yoane Wissa,94.0,34.0,68.0,,False,True,,,30.95,0.1219999994,0.7884,0.900421142578125,RightFoot,Penalty,SecondHalf,False,1.806878306878306,0.032275132116402115,1.0,False,True,1259187.0,Yoane,Wissa,Yoane Wissa,#1F7EB8,,,,,,,,,,,,,,
72,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ngal Ayel Mukau,1428153,/players/1428153/ngal-ayel-mukau
72,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Théo Bongonda,466132,/players/466132/theo-bongonda
