timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,card,cardDescription,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
22,Goal,,14219423.0,0,0,/players/720560/julian-quinones,True,,,False,Julián Quiñones,720560.0,"[1, 0]",,assist by Roberto Alvarado,/players/720737/roberto-alvarado,720737.0,assist_by,Roberto Alvarado,2945861889.0,Goal,6710.0,720560.0,Julián Quiñones,92.3,44.1408917151,22.0,,False,True,,,36.66875,1.3805263090000002,0.09966258704662323,0.2383197396993637,RightFoot,RegularPlay,FirstHalf,False,0.29398148148148073,0.3652186002645503,1.0,False,True,146801.0,Julián,Quiñones,Julián Quiñones,#00634b,,,,,,,,,,,
31,Goal,,14219425.0,1,0,/players/292313/raul-jimenez,True,,,False,Raul Jiménez,292313.0,"[2, 0]",,assist by Julián Quiñones,/players/720560/julian-quinones,720560.0,assist_by,Julián Quiñones,2945862103.0,Goal,6710.0,292313.0,Raul Jiménez,90.2,32.3225,31.0,,False,True,,,30.645,1.5859999922,0.12470144033432007,0.8037514686584473,RightFoot,RegularPlay,FirstHalf,False,1.8875661375661386,0.4195767175132275,1.0,False,True,146801.0,Raul,Jiménez,Raul Jiménez,#00634b,,,,,,,,,,,
45,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,
45 + 1,Card,1.0,14219427.0,2,0,/players/832171/alan-franco,False,,,,Alan Franco,832171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,
45,Half,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ángelo Preciado,848593,/players/848593/angelo-preciado
46,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Yaimar Medina,1391753,/players/1391753/yaimar-medina
59,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Brian Gutiérrez,1170238,/players/1170238/brian-gutierrez
59,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kevin Rodríguez,1421270,/players/1421270/kevin-rodriguez
73,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Santiago Giménez,954092,/players/954092/santiago-gimenez
73,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Obed Vargas,1254394,/players/1254394/obed-vargas
79,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jordy Caicedo,766159,/players/766159/jordy-caicedo
79,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kendry Páez,1443464,/players/1443464/kendry-paez
80,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Orbelín Pineda,559986,/players/559986/orbelin-pineda
