timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
10,VAR,,14206545.0,0,0,/players/194165/harry-kane,True,False,['var_penalty_miss_retake'],['Missed penalty - to be retaken'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Goal,,14206546.0,0,0,/players/194165/harry-kane,True,,,,,Penalty,False,Harry Kane,194165.0,"[1, 0]",,,,2944867621.0,Goal,8491.0,194165.0,Harry Kane,94.0,34.0,12.0,,False,True,,,31.559999999999995,0.8154736802,0.7884,0.6323947906494141,RightFoot,Penalty,FirstHalf,False,1.6455026455026467,0.2157337778306878,1.0,False,True,383971.0,Harry,Kane,Harry Kane,#6FA3E6,,,,,,,,,,,,
36,Goal,,14206562.0,1,0,/players/1215064/martin-baturina,False,,,,,,False,Martin Baturina,1215064.0,"[1, 1]",,assist by Petar Sucic,/players/1382000/petar-sucic,2944869287.0,Goal,10155.0,1215064.0,Martin Baturina,84.1742718448,23.718980896300003,36.0,,False,True,,,36.05875,1.5859999922,0.04335537552833557,0.052591968327760696,RightFoot,RegularPlay,FirstHalf,False,0.455357142857142,0.4195767175132275,1.0,False,False,303919.0,Martin,Baturina,Martin Baturina,#CC3737,1382000.0,assist_by,Petar Sucic,,,,,,,,,
42,Goal,,14206566.0,1,1,/players/194165/harry-kane,True,,,,,Header,False,Harry Kane,194165.0,"[2, 1]",,assist by Declan Rice,/players/654096/declan-rice,2944869697.0,Goal,8491.0,194165.0,Harry Kane,95.54385964789999,35.220000000000006,42.0,,False,True,,,36.51625,0.6934736808,0.041305869817733765,0.2335972934961319,Header,FromCorner,FirstHalf,False,0.33432539682539697,0.18345864571428572,1.0,False,True,383971.0,Harry,Kane,Harry Kane,#6FA3E6,654096.0,assist_by,Declan Rice,,,,,,,,,
45,AddedTime,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,
45 + 5,Goal,5.0,14206571.0,2,1,/players/709796/petar-musa,False,,,,,,False,Petar Musa,709796.0,"[2, 2]",,assist by Ivan Perisic,/players/163670/ivan-perisic,2944870211.0,Goal,10155.0,709796.0,Petar Musa,97.95614035039999,41.225952381,45.0,5.0,False,True,,,34.4575,0.4879999976,0.14251405000686646,0.11079105734825134,RightFoot,RegularPlay,FirstHalf,False,0.8789682539682532,0.12910052846560846,1.0,False,True,303919.0,Petar,Musa,Petar Musa,#CC3737,163670.0,assist_by,Ivan Perisic,,,,,,,,,
45,Half,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
47,Goal,,14206580.0,2,2,/players/1077894/jude-bellingham,True,,,,,,False,Jude Bellingham,1077894.0,"[3, 2]",,assist by Elliot Anderson,/players/1089691/elliot-anderson,2944870717.0,Goal,8491.0,1077894.0,Jude Bellingham,96.7017543851,21.4769426787,47.0,,False,True,,,37.05,0.160526315,0.09780610352754593,0.6175581812858582,RightFoot,RegularPlay,SecondHalf,False,0.19312169312169392,0.042467279100529096,1.0,False,True,383971.0,Jude,Bellingham,Jude Bellingham,#6FA3E6,1089691.0,assist_by,Elliot Anderson,,,,,,,,,
58,Substitution,0.0,,3,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mateo Kovacic,239219,/players/239219/mateo-kovacic
66,Substitution,0.0,,3,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Marco Pasalic,1199714,/players/1199714/marco-pasalic
