timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,addedTime,penalty,VAR,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,substitution_name,substitution_id,substitution_profileUrl
36,Goal,,14229303.0,0,0,/players/1228558/andreas-schjelderup,True,,,False,Andreas Schjelderup,1228558.0,"[1, 0]",,assist by Martin Ødegaard,/players/534670/martin-odegaard,534670.0,assist_by,Martin Ødegaard,2946847793.0,Goal,8492.0,1228558.0,Andreas Schjelderup,93.5,52.3383439482,36.0,,False,True,,,31.178749999999994,1.7079999916000002,0.0236593559384346,0.4265114367008209,LeftFoot,RegularPlay,FirstHalf,False,1.7463624338624355,0.45185184962962965,1.0,False,True,303919.0,Andreas,Schjelderup,Andreas Schjelderup,#b53032,,,,,,,,,,,,,,,,,
,Comment,,0.0,1,0,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,
45 + 2,Goal,2.0,14229309.0,1,0,/players/1077894/jude-bellingham,False,,,False,Jude Bellingham,1077894.0,"[1, 1]",,assist by Anthony Gordon,/players/906937/anthony-gordon,906937.0,assist_by,Anthony Gordon,2946848425.0,Goal,8491.0,1077894.0,Jude Bellingham,97.95614035039999,43.720509549300004,45.0,2.0,False,True,,,32.551249999999996,0.160526315,0.06140700727701187,0.162880077958107,LeftFoot,RegularPlay,FirstHalf,False,1.3832671957671967,0.042467279100529096,1.0,False,True,73409.0,Jude,Bellingham,Jude Bellingham,#6FA3E6,,,,,,,,,,,,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,
46,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Bukayo Saka,961995,/players/961995/bukayo-saka
46,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Eberechi Eze,818975,/players/818975/eberechi-eze
55,VAR,,14229320.0,1,1,/players/935550/torbjorn-heggem,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,['var_goal_cancelled'],['Goal ruled out'],,,
60,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Fredrik Aursnes,310768,/players/310768/fredrik-aursnes
67,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Oscar Bobb,1113790,/players/1113790/oscar-bobb
