timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
3,Goal,,14238120.0,0,0,/players/654096/declan-rice,False,,,False,Declan Rice,654096.0,"[0, 1]",,,,2947779755.0,Goal,8491.0,654096.0,Declan Rice,83.38592233039999,44.000764326500004,3.0,,False,True,,,31.178749999999994,0.44947368200000004,0.04468254745006561,0.29352515935897827,RightFoot,RegularPlay,FirstHalf,False,1.7463624338624355,0.11890838148148149,1.0,False,False,466439.0,Declan,Rice,Declan Rice,#6FA3E6,,,,,,,,,,,,
18,Goal,,14238133.0,0,1,/players/710159/ezri-konsa,False,,Header,False,Ezri Konsa,710159.0,"[0, 2]",,assist by Declan Rice,/players/654096/declan-rice,2947783039.0,Goal,8491.0,710159.0,Ezri Konsa,98.0526315785,36.8975,18.0,,False,True,,,30.645,0.7705263120000001,0.09425434470176697,0.6918145418167114,Header,FromCorner,FirstHalf,False,1.8875661375661386,0.2038429396825397,1.0,False,True,466439.0,Ezri,Konsa,Ezri Konsa,#6FA3E6,654096.0,assist_by,Declan Rice,,,,,,,,,
37,Goal,,14238141.0,0,2,/players/961995/bukayo-saka,False,,,False,Bukayo Saka,961995.0,"[0, 3]",,assist by Marcus Rashford,/players/696365/marcus-rashford,2947786887.0,Goal,8491.0,961995.0,Bukayo Saka,96.9912280694,44.91159235240001,37.0,,False,True,,,34.0,2.0354736742,0.3223188519477844,0.9635626673698425,LeftFoot,FastBreak,FirstHalf,False,1.0,0.538485098994709,1.0,False,True,466439.0,Bukayo,Saka,Bukayo Saka,#6FA3E6,696365.0,assist_by,Marcus Rashford,,,,,,,,,
45,AddedTime,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45 + 1,Goal,1.0,14238145.0,0,3,/players/961995/bukayo-saka,False,,,False,Bukayo Saka,961995.0,"[0, 4]",,assist by Eberechi Eze,/players/818975/eberechi-eze,2947789051.0,Goal,8491.0,961995.0,Bukayo Saka,88.6,36.8975,45.0,1.0,False,True,,,31.7125,0.28252631440000003,0.09486084431409836,0.34470459818840027,LeftFoot,RegularPlay,FirstHalf,False,1.6051587301587305,0.07474241121693122,1.0,False,True,466439.0,Bukayo,Saka,Bukayo Saka,#6FA3E6,818975.0,assist_by,Eberechi Eze,,,,,,,,,
45,Half,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,0,4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lucas Digne,210111,/players/210111/lucas-digne
46,Substitution,0.0,,0,4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dayot Upamecano,658554,/players/658554/dayot-upamecano
46,Substitution,0.0,,0,4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ousmane Dembélé,692984,/players/692984/ousmane-dembele
46,Substitution,0.0,,0,4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Bradley Barcola,1297165,/players/1297165/bradley-barcola
