timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14214861.0,0,0,/players/692984/ousmane-dembele,False,,,False,Ousmane Dembélé,692984.0,"[0, 1]",,assist by Kylian Mbappé,/players/701154/kylian-mbappe,701154.0,assist_by,Kylian Mbappé,2945481845.0,Goal,6723.0,692984.0,Ousmane Dembélé,94.4824561388,22.387770704599998,7.0,,False,True,,,36.440000000000005,1.2585263096000001,0.0877419039607048,0.5125008821487427,RightFoot,RegularPlay,FirstHalf,False,0.3544973544973533,0.3329434681481482,1.0,False,True,631757.0,Ousmane,Dembélé,Ousmane Dembélé,#26406A,,,,,,,,,,,
10,Card,,14214867.0,0,1,/players/530635/patrick-berg,True,,,,Patrick Berg,530635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
20,Goal,,14214898.0,0,1,/players/692984/ousmane-dembele,False,,,False,Ousmane Dembélé,692984.0,"[0, 2]",,assist by Kylian Mbappé,/players/701154/kylian-mbappe,701154.0,assist_by,Kylian Mbappé,2945484325.0,Goal,6723.0,692984.0,Ousmane Dembélé,82.03446602,27.446428571,20.0,,False,True,,,36.821250000000006,0.6485263126,0.11413074284791946,0.7079198956489563,LeftFoot,FastBreak,FirstHalf,False,0.2536375661375645,0.17156780756613757,1.0,False,False,631757.0,Ousmane,Dembélé,Ousmane Dembélé,#26406A,,,,,,,,,,,
21,Goal,,14214900.0,0,2,/players/1184468/thelo-aasgaard,True,,,False,Thelo Aasgaard,1184468.0,"[1, 2]",,assist by Andreas Schjelderup,/players/1228558/andreas-schjelderup,1228558.0,assist_by,Andreas Schjelderup,2945484487.0,Goal,8492.0,1184468.0,Thelo Aasgaard,90.8,37.732,21.0,,False,True,,,36.135000000000005,0.0834736838,0.10293851047754288,0.23671068251132965,RightFoot,RegularPlay,FirstHalf,False,0.4351851851851839,0.02208298513227513,1.0,False,True,466439.0,Thelo,Aasgaard,Thelo Aasgaard,#b53032,,,,,,,,,,,
32,Goal,,14214912.0,1,2,/players/692984/ousmane-dembele,False,,,False,Ousmane Dembélé,692984.0,"[1, 3]",,assist by Aurélien Tchouaméni,/players/914458/aurelien-tchouameni,914458.0,assist_by,Aurélien Tchouaméni,2945486177.0,Goal,6723.0,692984.0,Ousmane Dembélé,90.5,25.591562500000002,32.0,,False,True,,,36.36375,0.3659999982,0.08958788961172104,0.6609131693840027,LeftFoot,RegularPlay,FirstHalf,False,0.37466931216931143,0.09682539634920634,1.0,False,True,631757.0,Ousmane,Dembélé,Ousmane Dembélé,#26406A,,,,,,,,,,,
45,AddedTime,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,
45,Half,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Marcus Holmgren Pedersen,935622,/players/935622/marcus-holmgren-pedersen
46,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Morten Thorsby,439148,/players/439148/morten-thorsby
50,MissedPenalty,,14214994.0,1,3,/players/821100/jorgen-strand-larsen,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
