timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
45,Goal,,14219274.0,0,0,/players/701154/kylian-mbappe,True,,,False,Kylian Mbappé,701154.0,"[1, 0]",,assist by Ousmane Dembélé,/players/692984/ousmane-dembele,692984.0,assist_by,Ousmane Dembélé,2945854193.0,Goal,6723.0,701154.0,Kylian Mbappé,97.2807017537,42.7553125,45.0,0.0,False,True,,,30.797499999999996,1.3034736778000002,0.04770402982831001,0.8688881993293762,RightFoot,FromCorner,FirstHalf,False,1.8472222222222223,0.34483430629629636,1.0,False,True,1014602.0,Kylian,Mbappé,Kylian Mbappé,#26406A,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 3 minutes added,added_injury_time,3.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
53,Goal,,14219277.0,1,0,/players/1297165/bradley-barcola,True,,,False,Bradley Barcola,1297165.0,"[2, 0]",,assist by Michael Olise,/players/1029063/michael-olise,1029063.0,assist_by,Michael Olise,2945854919.0,Goal,6723.0,1297165.0,Bradley Barcola,91.9,36.8975,53.0,,False,True,,,36.66875,1.6245263078,0.6233370304107666,0.9337467551231384,RightFoot,FastBreak,SecondHalf,False,0.29398148148148073,0.42976886449735446,1.0,False,True,1014602.0,Bradley,Barcola,Bradley Barcola,#26406A,,,,,,,,,
65,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Besfort Zeneli,1338361,/players/1338361/besfort-zeneli
65,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Taha Abdi Ali,1135782,/players/1135782/taha-abdi-ali
74,Goal,,14219284.0,2,0,/players/701154/kylian-mbappe,True,,,False,Kylian Mbappé,701154.0,"[3, 0]",,assist by Michael Olise,/players/1029063/michael-olise,1029063.0,assist_by,Michael Olise,2945855847.0,Goal,6723.0,701154.0,Kylian Mbappé,96.605263157,44.000764326500004,74.0,,False,True,,,31.48375,1.2199999940000001,0.32453596591949463,0.7070425152778625,RightFoot,RegularPlay,SecondHalf,False,1.665674603174603,0.32275132116402117,1.0,False,True,1014602.0,Kylian,Mbappé,Kylian Mbappé,#26406A,,,,,,,,,
75,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Malo Gusto,1197250,/players/1197250/malo-gusto
75,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Désiré Doué,1339208,/players/1339208/desire-doue
78,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Theo Hernández,724371,/players/724371/theo-hernandez
82,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Benjamin Nygren,931605,/players/931605/benjamin-nygren
82,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mattias Svanberg,647900,/players/647900/mattias-svanberg
85,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rayan Cherki,1104053,/players/1104053/rayan-cherki
85,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jean-Philippe Mateta,706297,/players/706297/jean-philippe-mateta
89,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Gustaf Nilsson,118241,/players/118241/gustaf-nilsson
90,AddedTime,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
90,Half,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
