timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
6,Goal,,14204307.0,0,0,/players/966019/felix-nmecha,True,,,False,Felix Nmecha,966019.0,"[1, 0]",,assist by Florian Wirtz,/players/1152455/florian-wirtz,1152455.0,assist_by,Florian Wirtz,2944646507.0,Goal,8570.0,966019.0,Felix Nmecha,90.8,42.46625,6.0,,False,True,,,31.331249999999997,1.1365263102,0.05875379219651222,0.5369185209274292,RightFoot,RegularPlay,FirstHalf,False,1.7060185185185193,0.30066833603174603,1.0,False,True,150242.0,Felix,Nmecha,Felix Nmecha,#464646,,,,,,,,,
21,Goal,,14204337.0,1,0,/players/1243246/livano-comenencia,False,,,False,Livano Comenencia,1243246.0,"[1, 1]",,,,,,,2944648421.0,Goal,287981.0,1243246.0,Livano Comenencia,90.1,26.169687500000002,21.0,,False,True,,,36.97375,1.1365263102,0.08398522436618805,0.29564955830574036,LeftFoot,RegularPlay,FirstHalf,False,0.21329365079365015,0.30066833603174603,1.0,False,True,27299.0,Livano,Comenencia,Livano Comenencia,#2162BC,,,,,,,,,
38,Goal,,14204366.0,1,1,/players/1002058/nico-schlotterbeck,True,,Header,False,Nico Schlotterbeck,1002058.0,"[2, 1]",,assist by Nathaniel Brown,/players/1395447/nathaniel-brown,1395447.0,assist_by,Nathaniel Brown,2944650035.0,Goal,8570.0,1002058.0,Nico Schlotterbeck,100.44827586240001,30.797499999999996,38.0,,False,True,,,35.75375,0.7319999964,0.2503298819065094,0.8872508406639099,Header,FromCorner,FirstHalf,False,0.5360449735449745,0.19365079269841268,1.0,False,True,150242.0,Nico,Schlotterbeck,Nico Schlotterbeck,#464646,,,,,,,,,
45,AddedTime,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45 + 5,Goal,5.0,14204394.0,2,1,/players/749736/kai-havertz,True,,Penalty,False,Kai Havertz,749736.0,"[3, 1]",,,,,,,2944651571.0,Goal,8570.0,749736.0,Kai Havertz,94.0,34.0,45.0,5.0,False,True,,,36.821250000000006,0.160526315,0.7884,0.8528149127960205,LeftFoot,Penalty,FirstHalf,False,0.2536375661375645,0.042467279100529096,1.0,False,True,150242.0,Kai,Havertz,Kai Havertz,#464646,,,,,,,,,
45,Half,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,3,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jeremy Antonisse,1210947,/players/1210947/jeremy-antonisse
47,Goal,,14204428.0,3,1,/players/1156141/jamal-musiala,True,,,False,Jamal Musiala,1156141.0,"[4, 1]",,assist by Joshua Kimmich,/players/460632/joshua-kimmich,460632.0,assist_by,Joshua Kimmich,2944653817.0,Goal,8570.0,1156141.0,Jamal Musiala,98.92105263139999,22.878216564699997,47.0,,False,True,,,36.97375,0.20547368320000003,0.07221975177526474,0.5588510036468506,RightFoot,RegularPlay,SecondHalf,False,0.21329365079365015,0.05435811724867726,1.0,False,True,150242.0,Jamal,Musiala,Jamal Musiala,#464646,,,,,,,,,
64,Substitution,0.0,,4,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Deniz Undav,661519,/players/661519/deniz-undav
65,Substitution,0.0,,4,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jearl Margaritha,1180784,/players/1180784/jearl-margaritha
