timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,injuredPlayerOut,minutesAddedStr,minutesAddedKey,minutesAddedInput,shortName,shotmapEvent.shortName,halfStrShort,halfStrKey,substitution_name,substitution_id,substitution_profileUrl
4,Card,,14208142.0,0,0,/players/634110/carlens-arcus,False,Carlens Arcus,634110.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Goal,,14208151.0,0,0,/players/863098/matheus-cunha,True,Matheus Cunha,863098.0,,,,,False,"[1, 0]",,,,2945000417.0,Goal,8256.0,863098.0,Matheus Cunha,98.6315789471,35.0675,23.0,,False,True,,,36.21125,0.2439999988,0.6025888323783875,0.8426039218902588,LeftFoot,FastBreak,FirstHalf,False,0.41501322751322767,0.06455026423280423,1.0,False,True,103468.0,Matheus,Cunha,Matheus Cunha,#2b9217,,,,,,,,,,,,,,
36,Goal,,14208153.0,1,0,/players/863098/matheus-cunha,True,Matheus Cunha,863098.0,,,,,False,"[2, 0]",,assist by Vinícius Júnior,/players/846033/vinicius-junior,2945000901.0,Goal,8256.0,863098.0,Matheus Cunha,94.7719298231,45.4020382125,36.0,,False,True,,,37.12625,1.6245263078,0.22476881742477417,0.791206419467926,LeftFoot,FastBreak,FirstHalf,False,0.1729497354497358,0.42976886449735446,1.0,False,True,103468.0,Matheus,Cunha,Matheus Cunha,#2b9217,846033.0,assist_by,Vinícius Júnior,,,,,,,,,,,
40,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Rayan,1478295,/players/1478295/rayan
45,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,
45 + 3,Goal,3.0,14208158.0,2,0,/players/846033/vinicius-junior,True,Vinícius Júnior,846033.0,,,,,False,"[3, 0]",,assist by Lucas Paquetá,/players/766435/lucas-paqueta,2945001287.0,Goal,8256.0,846033.0,Vinícius Júnior,95.73684210409999,45.752356684000006,45.0,3.0,False,True,,,34.07625,0.20547368320000003,0.28174227476119995,0.2095237374305725,RightFoot,RegularPlay,FirstHalf,False,0.9798280423280419,0.05435811724867726,1.0,False,True,103468.0,Vinícius,Júnior,Vinícius Júnior,#2b9217,766435.0,assist_by,Lucas Paquetá,,,,,Vinicius,Vinicius,,,,,
45 + 4,Card,4.0,14208161.0,3,0,/players/833641/frantzdy-pierrot,False,Frantzdy Pierrot,833641.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Wilson Isidor,887703,/players/887703/wilson-isidor
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Dominique Simon,1356595,/players/1356595/dominique-simon
