timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,shortName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.shortName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
10,Goal,,14213683.0,0,0,/players/340020/yassine-bounou,False,True,Own goal,False,Yassine Bounou,Bono,340020.0,"[0, 1]",,,,2945371135.0,Goal,6262.0,340020.0,Yassine Bounou,3.6034482756,36.745000000000005,10.0,,False,True,,,31.941249999999997,0.6934736808,,0.9845625758171082,OtherBodyParts,RegularPlay,FirstHalf,True,1.544642857142858,0.18345864571428572,1.0,False,True,340020.0,Yassine,Bounou,Yassine Bounou,Bono,#E6251E,,,,,,,,,,,,,,
39,Goal,,14213686.0,0,1,/players/770881/achraf-hakimi,True,,,False,Achraf Hakimi,,770881.0,"[1, 1]",,,,2945373095.0,Goal,6262.0,770881.0,Achraf Hakimi,103.103448276,34.915000000000006,39.0,,False,True,,,34.7625,0.1219999994,0.9389529228210449,0.6868808269500732,LeftFoot,RegularPlay,FirstHalf,False,0.7982804232804226,0.032275132116402115,1.0,False,True,103468.0,Achraf,Hakimi,Achraf Hakimi,,#E6251E,,,,,,,,,,,,,,
43,Goal,,14213687.0,1,1,/players/887703/wilson-isidor,False,,,False,Wilson Isidor,,887703.0,"[1, 2]",,assist by Jean-Kévin Duverne,/players/769168/jean-kevin-duverne,2945373369.0,Goal,5934.0,887703.0,Wilson Isidor,81.35873786479999,20.4259872642,43.0,,False,True,,,37.05,1.4639999928,0.02794632874429226,0.30535414814949036,RightFoot,RegularPlay,FirstHalf,False,0.19312169312169392,0.38730158539682535,1.0,False,False,340020.0,Wilson,Isidor,Wilson Isidor,,#4273C2,769168.0,assist_by,Jean-Kévin Duverne,,,,,,,,,,,
45,AddedTime,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,
45 + 1,Goal,1.0,14213689.0,1,2,/players/1180288/ismael-saibari,True,,,False,Ismael Saibari,,1180288.0,"[2, 2]",,assist by Achraf Hakimi,/players/770881/achraf-hakimi,2945373559.0,Goal,6262.0,1180288.0,Ismael Saibari,90.5,32.6275,45.0,1.0,False,True,,,36.51625,0.160526315,0.21724292635917664,0.7342209219932556,RightFoot,RegularPlay,FirstHalf,False,0.33432539682539697,0.042467279100529096,1.0,False,True,103468.0,Ismael,Saibari,Ismael Saibari,,#E6251E,770881.0,assist_by,Achraf Hakimi,,,,,,,,,,,
45,Half,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
67,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Duckens Nazon,525445,/players/525445/duckens-nazon
67,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Don Deedson Louicius,1079194,/players/1079194/don-deedson-louicius
70,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Azzedine Ounahi,1073143,/players/1073143/azzedine-ounahi
70,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Soufiane Rahimi,988749,/players/988749/soufiane-rahimi
