timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,substitution_name,substitution_id,substitution_profileUrl
5,Goal,,14215267.0,0,0,/players/1291391/mahmoud-saber,True,,,False,Mahmoud Saber,1291391.0,"[1, 0]",,assist by Trezeguet,/players/513492/trezeguet,513492.0,assist_by,Trezeguet,2945519795.0,Goal,10255.0,1291391.0,Mahmoud Saber,94.09649122639999,45.9625477669,5.0,,False,True,,,36.36375,0.5714736814000001,0.10326892882585526,0.3075951635837555,LeftFoot,RegularPlay,FirstHalf,False,0.37466931216931143,0.15118351359788362,1.0,False,True,505313.0,Mahmoud,Saber,Mahmoud Saber,#DE313C,,,,,,,,,,,,,,
11,MissedPenalty,,14215269.0,1,0,/players/619506/mehdi-taremi,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Yasser Ibrahim,533403,/players/533403/yasser-ibrahim
14,Goal,,14215271.0,1,0,/players/505959/ramin-rezaeian,False,,,False,Ramin Rezaeian,505959.0,"[1, 1]",,,,,,,2945520339.0,Goal,6711.0,505959.0,Ramin Rezaeian,103.19827586219999,27.194285714000003,14.0,,False,True,,,32.474999999999994,1.2585263096000001,0.07103431224822998,0.1422184258699417,RightFoot,RegularPlay,FirstHalf,False,1.4034391534391548,0.3329434681481482,1.0,False,True,1228546.0,Ramin,Rezaeian,Ramin Rezaeian,#E21D27,,,,,,,,,,,,,,
18,Card,,14215275.0,1,1,/players/500637/hossein-kanaani,False,,,,Hossein Kanaani,500637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,
19,Card,,14215276.0,1,1,/players/1291391/mahmoud-saber,True,,,,Mahmoud Saber,1291391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,
41,Card,,14215296.0,1,1,/players/533403/yasser-ibrahim,True,,,,Yasser Ibrahim,533403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,
43,Card,,14215297.0,1,1,/players/872575/ali-nemati,False,,,,Ali Nemati,872575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,
45,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
